"","precision","recall","model"
"242",1,0.00325706594885599,"VBASS"
"243",1,0.00327052489905787,"VBASS"
"244",1,0.00328398384925976,"VBASS"
"245",1,0.00329744279946164,"VBASS"
"246",1,0.00331090174966353,"VBASS"
"247",1,0.00332436069986541,"VBASS"
"248",1,0.00333781965006729,"VBASS"
"249",1,0.00335127860026918,"VBASS"
"250",1,0.00336473755047106,"VBASS"
"251",1,0.00337819650067295,"VBASS"
"252",1,0.00339165545087483,"VBASS"
"253",1,0.00340511440107672,"VBASS"
"254",1,0.0034185733512786,"VBASS"
"255",1,0.00343203230148048,"VBASS"
"256",1,0.00344549125168237,"VBASS"
"257",1,0.00345895020188425,"VBASS"
"258",1,0.00347240915208614,"VBASS"
"259",1,0.00348586810228802,"VBASS"
"260",1,0.00349932705248991,"VBASS"
"261",1,0.00351278600269179,"VBASS"
"262",1,0.00352624495289367,"VBASS"
"263",1,0.00353970390309556,"VBASS"
"264",1,0.00355316285329744,"VBASS"
"265",1,0.00356662180349933,"VBASS"
"266",1,0.00358008075370121,"VBASS"
"267",1,0.0035935397039031,"VBASS"
"268",1,0.00360699865410498,"VBASS"
"269",1,0.00362045760430686,"VBASS"
"270",1,0.00363391655450875,"VBASS"
"271",1,0.00364737550471063,"VBASS"
"272",1,0.00366083445491252,"VBASS"
"273",1,0.0036742934051144,"VBASS"
"274",1,0.00368775235531629,"VBASS"
"275",1,0.00370121130551817,"VBASS"
"276",1,0.00371467025572005,"VBASS"
"277",1,0.00372812920592194,"VBASS"
"278",1,0.00374158815612382,"VBASS"
"279",1,0.00375504710632571,"VBASS"
"280",1,0.00376850605652759,"VBASS"
"281",1,0.00378196500672948,"VBASS"
"282",1,0.00379542395693136,"VBASS"
"283",1,0.00380888290713324,"VBASS"
"284",1,0.00382234185733513,"VBASS"
"285",1,0.00383580080753701,"VBASS"
"286",1,0.0038492597577389,"VBASS"
"287",1,0.00386271870794078,"VBASS"
"288",1,0.00387617765814266,"VBASS"
"289",1,0.00388963660834455,"VBASS"
"290",1,0.00390309555854643,"VBASS"
"291",1,0.00391655450874832,"VBASS"
"292",1,0.0039300134589502,"VBASS"
"293",1,0.00394347240915209,"VBASS"
"294",1,0.00395693135935397,"VBASS"
"295",1,0.00397039030955585,"VBASS"
"296",1,0.00398384925975774,"VBASS"
"297",1,0.00399730820995962,"VBASS"
"298",1,0.00401076716016151,"VBASS"
"299",1,0.00402422611036339,"VBASS"
"300",1,0.00403768506056528,"VBASS"
"301",1,0.00405114401076716,"VBASS"
"302",1,0.00406460296096904,"VBASS"
"303",1,0.00407806191117093,"VBASS"
"304",1,0.00409152086137281,"VBASS"
"305",1,0.0041049798115747,"VBASS"
"306",1,0.00411843876177658,"VBASS"
"307",1,0.00413189771197847,"VBASS"
"308",1,0.00414535666218035,"VBASS"
"309",1,0.00415881561238223,"VBASS"
"310",1,0.00417227456258412,"VBASS"
"311",1,0.004185733512786,"VBASS"
"312",1,0.00419919246298789,"VBASS"
"313",1,0.00421265141318977,"VBASS"
"314",1,0.00422611036339166,"VBASS"
"315",1,0.00423956931359354,"VBASS"
"316",1,0.00425302826379542,"VBASS"
"317",1,0.00426648721399731,"VBASS"
"318",1,0.00427994616419919,"VBASS"
"319",1,0.00429340511440108,"VBASS"
"320",1,0.00430686406460296,"VBASS"
"321",1,0.00432032301480484,"VBASS"
"322",1,0.00433378196500673,"VBASS"
"323",1,0.00434724091520861,"VBASS"
"324",1,0.0043606998654105,"VBASS"
"325",1,0.00437415881561238,"VBASS"
"326",1,0.00438761776581427,"VBASS"
"327",1,0.00440107671601615,"VBASS"
"328",1,0.00441453566621804,"VBASS"
"329",1,0.00442799461641992,"VBASS"
"330",1,0.0044414535666218,"VBASS"
"331",1,0.00445491251682369,"VBASS"
"332",1,0.00446837146702557,"VBASS"
"333",1,0.00448183041722746,"VBASS"
"334",1,0.00449528936742934,"VBASS"
"335",1,0.00450874831763123,"VBASS"
"336",1,0.00452220726783311,"VBASS"
"337",1,0.00453566621803499,"VBASS"
"338",1,0.00454912516823688,"VBASS"
"339",1,0.00456258411843876,"VBASS"
"340",1,0.00457604306864065,"VBASS"
"341",1,0.00458950201884253,"VBASS"
"342",1,0.00460296096904441,"VBASS"
"343",1,0.0046164199192463,"VBASS"
"344",1,0.00462987886944818,"VBASS"
"345",1,0.00464333781965007,"VBASS"
"346",1,0.00465679676985195,"VBASS"
"347",1,0.00467025572005384,"VBASS"
"348",1,0.00468371467025572,"VBASS"
"349",1,0.0046971736204576,"VBASS"
"350",1,0.00471063257065949,"VBASS"
"351",1,0.00472409152086137,"VBASS"
"352",1,0.00473755047106326,"VBASS"
"353",1,0.00475100942126514,"VBASS"
"354",1,0.00476446837146703,"VBASS"
"355",1,0.00477792732166891,"VBASS"
"356",1,0.00479138627187079,"VBASS"
"357",1,0.00480484522207268,"VBASS"
"358",1,0.00481830417227456,"VBASS"
"359",1,0.00483176312247645,"VBASS"
"360",1,0.00484522207267833,"VBASS"
"361",1,0.00485868102288022,"VBASS"
"362",1,0.0048721399730821,"VBASS"
"363",1,0.00488559892328398,"VBASS"
"364",1,0.00489905787348587,"VBASS"
"365",1,0.00491251682368775,"VBASS"
"366",1,0.00492597577388964,"VBASS"
"367",1,0.00493943472409152,"VBASS"
"368",1,0.0049528936742934,"VBASS"
"369",1,0.00496635262449529,"VBASS"
"370",1,0.00497981157469717,"VBASS"
"371",1,0.00499327052489906,"VBASS"
"372",1,0.00500672947510094,"VBASS"
"373",1,0.00502018842530283,"VBASS"
"374",1,0.00503364737550471,"VBASS"
"375",1,0.00504710632570659,"VBASS"
"376",1,0.00506056527590848,"VBASS"
"377",1,0.00507402422611036,"VBASS"
"378",1,0.00508748317631225,"VBASS"
"379",1,0.00510094212651413,"VBASS"
"380",1,0.00511440107671602,"VBASS"
"381",1,0.0051278600269179,"VBASS"
"382",1,0.00514131897711979,"VBASS"
"383",1,0.00515477792732167,"VBASS"
"384",1,0.00516823687752355,"VBASS"
"385",1,0.00518169582772544,"VBASS"
"386",1,0.00519515477792732,"VBASS"
"387",1,0.00520861372812921,"VBASS"
"388",1,0.00522207267833109,"VBASS"
"389",1,0.00523553162853297,"VBASS"
"390",1,0.00524899057873486,"VBASS"
"391",1,0.00526244952893674,"VBASS"
"392",1,0.00527590847913863,"VBASS"
"393",1,0.00528936742934051,"VBASS"
"394",1,0.0053028263795424,"VBASS"
"395",1,0.00531628532974428,"VBASS"
"396",1,0.00532974427994616,"VBASS"
"397",1,0.00534320323014805,"VBASS"
"398",1,0.00535666218034993,"VBASS"
"399",1,0.00537012113055182,"VBASS"
"400",1,0.0053835800807537,"VBASS"
"401",1,0.00539703903095559,"VBASS"
"402",1,0.00541049798115747,"VBASS"
"403",1,0.00542395693135935,"VBASS"
"404",1,0.00543741588156124,"VBASS"
"405",1,0.00545087483176312,"VBASS"
"406",1,0.00546433378196501,"VBASS"
"407",1,0.00547779273216689,"VBASS"
"408",1,0.00549125168236878,"VBASS"
"409",1,0.00550471063257066,"VBASS"
"410",1,0.00551816958277254,"VBASS"
"411",1,0.00553162853297443,"VBASS"
"412",1,0.00554508748317631,"VBASS"
"413",1,0.0055585464333782,"VBASS"
"414",1,0.00557200538358008,"VBASS"
"415",1,0.00558546433378196,"VBASS"
"416",1,0.00559892328398385,"VBASS"
"417",1,0.00561238223418573,"VBASS"
"418",1,0.00562584118438762,"VBASS"
"419",1,0.0056393001345895,"VBASS"
"420",1,0.00565275908479139,"VBASS"
"421",1,0.00566621803499327,"VBASS"
"422",1,0.00567967698519515,"VBASS"
"423",1,0.00569313593539704,"VBASS"
"424",1,0.00570659488559892,"VBASS"
"425",1,0.00572005383580081,"VBASS"
"426",1,0.00573351278600269,"VBASS"
"427",1,0.00574697173620458,"VBASS"
"428",1,0.00576043068640646,"VBASS"
"429",1,0.00577388963660834,"VBASS"
"430",1,0.00578734858681023,"VBASS"
"431",1,0.00580080753701211,"VBASS"
"432",1,0.005814266487214,"VBASS"
"433",1,0.00582772543741588,"VBASS"
"434",1,0.00584118438761777,"VBASS"
"435",1,0.00585464333781965,"VBASS"
"436",1,0.00586810228802153,"VBASS"
"437",1,0.00588156123822342,"VBASS"
"438",1,0.0058950201884253,"VBASS"
"439",1,0.00590847913862719,"VBASS"
"440",1,0.00592193808882907,"VBASS"
"441",1,0.00593539703903096,"VBASS"
"442",1,0.00594885598923284,"VBASS"
"443",1,0.00596231493943472,"VBASS"
"444",1,0.00597577388963661,"VBASS"
"445",1,0.00598923283983849,"VBASS"
"446",1,0.00600269179004038,"VBASS"
"447",1,0.00601615074024226,"VBASS"
