"","recall","mut.rate","mut.rate.rank","model.name"
"1060",0.33,1.59608094033255e-05,0.929448929448929,"VBASS.FDR.0.05"
"1061",0.44,1.01157540965488e-05,0.825552825552825,"VBASS.FDR.0.05"
"1062",0.26,9.09937187417575e-06,0.792207792207792,"VBASS.FDR.0.05"
"1063",0.4,1.0785927781747e-05,0.84420598706313,"VBASS.FDR.0.05"
"1064",0.52,1.87895643448819e-05,0.952263952263952,"VBASS.FDR.0.05"
"1065",0.32,1.09802220926102e-05,0.849220277791706,"VBASS.FDR.0.05"
"1066",0.55,1.22704837621281e-05,0.878102592388307,"VBASS.FDR.0.05"
"1067",0.38,1.12696878705355e-05,0.856741713884571,"VBASS.FDR.0.05"
"1068",0.11,3.67353525006499e-06,0.431830717545003,"VBASS.FDR.0.05"
"1069",0.32,1.45226982476163e-05,0.914105199819486,"VBASS.FDR.0.05"
"1070",0.44,1.24184925974062e-05,0.881161309732738,"VBASS.FDR.0.05"
"1071",0.48,1.23659225992272e-05,0.880258737401595,"VBASS.FDR.0.05"
"1072",0,4.51798876639335e-07,0.0367046081331796,"VBASS.FDR.0.05"
"1073",0.44,1.33689550189281e-05,0.897959183673469,"VBASS.FDR.0.05"
"1074",0.49,1.30676203445946e-05,0.89274432131575,"VBASS.FDR.0.05"
"1075",0,2.62415809638204e-07,0.0147921576493005,"VBASS.FDR.0.05"
"1076",0,3.5642158808157e-07,0.0250714536428822,"VBASS.FDR.0.05"
"1077",0.03,4.10765138664303e-07,0.0314396028681743,"VBASS.FDR.0.05"
"1078",0.02,5.69096238684254e-07,0.0545554831269117,"VBASS.FDR.0.05"
"1079",0,8.11280532939899e-07,0.091310234167377,"VBASS.FDR.0.05"
"1080",0.41,1.65616304623321e-05,0.936318507747079,"VBASS.FDR.0.05"
"1081",0.45,1.83651456294489e-05,0.950007521436093,"VBASS.FDR.0.05"
"1082",0.46,1.41932368673011e-05,0.909742766885624,"VBASS.FDR.0.05"
"1083",0.05,1.6532082261209e-06,0.196810911096625,"VBASS.FDR.0.05"
"1084",0.01,1.3871164565911e-06,0.165722308579451,"VBASS.FDR.0.05"
"1085",0.06,3.30485104792529e-06,0.390713533570676,"VBASS.FDR.0.05"
"1086",0.04,2.28926893748093e-06,0.270721556435842,"VBASS.FDR.0.05"
"1087",0.45,1.5871148520065e-05,0.928596500025071,"VBASS.FDR.0.05"
"1088",0.03,3.59123035807729e-06,0.422453993882565,"VBASS.FDR.0.05"
"1089",0.64,1.88958248070546e-05,0.952665095522238,"VBASS.FDR.0.05"
"1090",0.08,3.76674496017702e-06,0.443213157498872,"VBASS.FDR.0.05"
"1091",0.08,3.54086583360484e-06,0.416186130471845,"VBASS.FDR.0.05"
"1092",0.11,3.6132469852226e-06,0.425111567968711,"VBASS.FDR.0.05"
"1093",0,7.75795741804826e-08,0.0014040014040014,"VBASS.FDR.0.05"
"1094",0,1.26881550369203e-07,0.00431229002657574,"VBASS.FDR.0.05"
"1095",0,1.43330832350241e-07,0.00536529107957679,"VBASS.FDR.0.05"
"1096",0,1.48107022201245e-07,0.00576643433786291,"VBASS.FDR.0.05"
"1097",0,1.52895134196399e-07,0.00601714887429173,"VBASS.FDR.0.05"
"1098",0,1.58380780699301e-07,0.00631800631800632,"VBASS.FDR.0.05"
"1099",0,1.61460572862567e-07,0.0066188637617209,"VBASS.FDR.0.05"
"1100",0.5,1.81213564166821e-05,0.948402948402948,"VBASS.FDR.0.05"
"1101",0,2.70915082861539e-07,0.0156445870731585,"VBASS.FDR.0.05"
"1102",0,2.96122285225994e-07,0.0181517324374467,"VBASS.FDR.0.05"
"1103",0.03,3.03751975627179e-07,0.0188035902321617,"VBASS.FDR.0.05"
"1104",0.16,4.89688830168575e-06,0.553577696434839,"VBASS.FDR.0.05"
"1105",0.01,3.07723406754618e-07,0.0193050193050193,"VBASS.FDR.0.05"
"1106",0,3.1390904792634e-07,0.0203580203580204,"VBASS.FDR.0.05"
"1107",0.01,3.06776869409943e-07,0.019154590583162,"VBASS.FDR.0.05"
"1108",0,3.44000353566896e-07,0.0231158802587374,"VBASS.FDR.0.05"
"1109",0.01,3.51602301771836e-07,0.0243694529408815,"VBASS.FDR.0.05"
"1110",0,3.41098900666744e-07,0.0227648799077371,"VBASS.FDR.0.05"
"1111",0.01,3.67395615509653e-07,0.0266760266760267,"VBASS.FDR.0.05"
"1112",0,3.60809740360512e-07,0.0258737401594544,"VBASS.FDR.0.05"
"1113",0,4.26562467770089e-07,0.0332447475304618,"VBASS.FDR.0.05"
"1114",0.12,4.17279967365726e-06,0.486386200671915,"VBASS.FDR.0.05"
"1115",0,4.47904501518237e-07,0.0360026074311789,"VBASS.FDR.0.05"
"1116",0.01,4.48454499858228e-07,0.0362533219676077,"VBASS.FDR.0.05"
"1117",0.01,4.51712667517662e-07,0.036604322318608,"VBASS.FDR.0.05"
"1118",0.01,4.55857726381011e-07,0.037256180113323,"VBASS.FDR.0.05"
"1119",0.01,4.66389039631556e-07,0.0386100386100386,"VBASS.FDR.0.05"
"1120",0,4.70043979135113e-07,0.0394123251266108,"VBASS.FDR.0.05"
"1121",0,4.92516208533095e-07,0.0429724715439001,"VBASS.FDR.0.05"
"1122",0,4.93186295616137e-07,0.0430727573584716,"VBASS.FDR.0.05"
