"","PC0","PC1","PC2","training.label","louvain.clust","k.means.clust","log_pi","posterior.label"
"INTS2",0.319037044367089,-0.0480532792115256,0.167214400809666,NA,"0","1",-3.5452666,"both"
"RAI1",-0.115593962488607,0.67644352630443,0.447772424319851,"ASD-Risk","0","2",-2.9698713,NA
"FOXG1",-1.61969284487976,-2.73049904599515,-0.138192762169329,NA,"0","1",-3.2153037,"both"
"PLEKHG6",1.33826231223809,0.136727135786449,-0.0391223528620411,NA,"0","1",-3.341669,"both"
"MAVS",-1.12254426733458,-0.218054558957617,0.0626783992174653,NA,"0","1",-3.2500646,"both"
"C1QC",0.49875808754051,-0.763882059026273,0.134808756983302,NA,"0","1",-3.341435,"both"
"TMEM116",0.681617546110662,0.162498030039058,-0.169988559311439,NA,"0","1",-3.2441173,"both"
"SIN3A",-0.727368895856189,-0.0960116524629126,-0.148932047253078,NA,"0","1",-3.3131795,"FDR_0.1_extTADA_only"
"ANP32A",-3.38075587718801,-0.240929613335604,-0.510091408753216,NA,"0","3",-3.224131,"both"
"PRR14L",-0.533428707279898,-0.0544058264837088,0.185125771051336,NA,"0","1",-3.2735085,"both"
"CSNK2B",-1.92561227933657,-2.7182272133152,-0.175299600540072,NA,"0","1",-3.303119,"both"
"PMM2",0.523539570724831,-0.220448146887983,0.00304317157021083,NA,"0","1",-3.6149375,"FDR_0.1_extTADA_only"
"PFN2",-5.13228734272826,0.580888370570399,-0.216262499610831,NA,"0","1",-3.3210669,"FDR_0.1_VBASS_only"
"LMTK3",0.702720794522406,-0.0787690699813988,0.28494792887937,NA,"0","2",-3.021031,"FDR_0.1_VBASS_only"
"SPRY2",-0.552133944045679,0.155141620557748,0.0299250876918794,NA,"0","1",-3.1227136,"FDR_0.1_VBASS_only"
"CMPK2",1.07983469152258,0.0447962757921277,0.022278663008753,NA,"0","1",-3.5238235,"FDR_0.1_VBASS_only"
"IQSEC2",0.898818619554298,0.114471043147007,0.176148191956898,"ASD-Risk","0","1",-2.7618203,NA
"RIPK1",0.82680111395204,0.0767097255687233,-0.0603178820396376,NA,"0","1",-3.382146,NA
"TPK1",1.24061945326162,0.0740849064488349,0.00299774294492923,NA,"0","1",-3.3631892,"both"
"CASZ1",0.975950452237975,0.453459241787555,0.243076664783684,NA,"0","1",-3.178859,"FDR_0.1_VBASS_only"
"ZBTB45",0.290361646482016,-0.549340732698707,0.0580102141785673,NA,"0","1",-3.510336,NA
"NUDT17",1.25020847719169,0.137238195008214,-0.00766011675196611,NA,"0","1",-3.6288917,NA
"FANCE",0.651461287379692,0.164199450789238,-0.119549555826341,NA,"0","1",-3.5884204,NA
"ZNF396",1.19761780054196,0.247068832968407,0.000178725399292983,NA,"0","1",-3.7395568,NA
"NR4A2",-1.1486210890241,0.736363736835564,1.23582471984324,NA,"0","2",-3.29861,NA
"TBCEL",1.01726732635652,0.243036260362262,-0.025869112654262,NA,"0","1",-3.6334822,NA
"ADAM21",1.37826360357393,0.152111086273079,-0.0148148661601158,NA,"0","1",-3.4424782,NA
"TCF3",-1.86459949976024,0.752892840938823,-0.793465562372064,NA,"0","3",-3.1310806,NA
"AAAS",-1.53844592743328,-1.035269597315,-0.390953185774796,NA,"0","3",-3.4291925,NA
"CELF6",0.139006218435173,0.160623727899662,0.518655645168682,NA,"0","2",-3.4941092,NA
"INSC",1.31023839192608,0.0895923859001864,-0.0150157867917132,NA,"0","1",-3.4941537,NA
"ZMYND8",-2.61114208362267,0.205497332853665,0.562569294761284,NA,"0","2",-3.153269,"FDR_0.1_VBASS_only"
"CLTC",-3.90531705030747,0.168685892435342,0.434362417289685,NA,"0","2",-3.1974173,NA
"TCHHL1",1.38155188811492,0.156085443135423,-0.0167491803282234,NA,"2","1",-3.399109,NA
"CTDSPL2",-1.102130035956,-0.265510780484687,-0.293921671532548,NA,"0","3",-3.2682838,NA
"ZNF292",-4.43681436185764,1.11457848431912,0.849420627786666,NA,"0","2",-3.183209,NA
"KCNQ3",-0.903753196187102,-1.02334032068218,0.282525211396528,"ASD-Risk","0","2",-2.9808567,NA
"RALGAPB",-0.507052939896069,0.114050413898065,0.178562812525478,NA,"0","1",-3.1616316,NA
"SRCAP",-0.232859238258173,0.247179370929899,-0.102411322991035,NA,"0","1",-3.4107714,NA
"RAB11FIP4",-0.279039212163497,-0.362901282021117,0.624299509742188,NA,"0","2",-3.3947835,NA
"ZNF865",0.773322493135545,0.320218180020258,-0.0277438720041456,NA,"0","1",-3.2552595,NA
"CASKIN1",0.958710318882952,0.471208022604036,0.295244252418861,NA,"0","2",-3.4000368,NA
"RANBP17",0.412674143431388,0.292463822619748,-0.0799439959579659,NA,"0","1",-3.5736227,NA
"FBN1",0.872554914704437,0.384767728214195,-0.143464428231496,NA,"0","1",-3.2676356,NA
"ACTB",-7.17829087358619,1.9786189410202,0.337642823911938,NA,"0","2",-3.2050326,NA
"CNNM2",1.08809169930956,0.148677006504972,0.0455153014118245,NA,"0","1",-3.5114632,NA
"TSHZ1",0.229455157501883,0.0679810601166428,0.0742840845937281,NA,"0","1",-3.19514,NA
"UPF3B",-2.85132361203717,0.438893979249716,-0.0417708213457114,NA,"0","1",-3.3160384,NA
"PHF2",-0.911430113622276,0.0871436384644831,0.263875196487932,NA,"0","1",-2.9735942,NA
"FMR1",-1.1543243122422,0.424554743113901,0.0930015829442011,NA,"0","1",-3.335608,NA
"MIB1",-2.68846632408467,1.60895318722046,0.0834950241059304,NA,"0","1",-3.0652442,NA
"FADS1",-3.94672113761782,0.203969825712276,-0.307194657859867,NA,"0","3",-3.2456698,NA
"FRMD7",1.38188758384437,0.156407735262241,-0.017094842295259,NA,"3","1",-3.4047887,NA
"LDB1",0.125393854022514,0.107910179758309,0.159298005037533,NA,"0","1",-3.3022401,NA
"PCDH19",-0.109905745229785,0.0322175995116165,0.412020026903929,NA,"0","2",-3.010894,NA
"EIF3G",-1.81806838953832,-0.340511097678144,-0.635316630076453,NA,"0","3",-3.4520402,NA
"MYO1E",0.903315886973023,0.044898586986082,-0.0789761136641237,NA,"0","1",-3.8202164,NA
"ZFAND5",-4.1522595197222,0.169237347547399,0.246828183209731,NA,"0","1",-3.2229943,NA
"CFAP410",0.241914962377177,-0.58541546555176,-0.0363186968917334,NA,"0","1",-3.2689803,NA
"BICRA",0.276242239692882,0.00183647728598625,0.222719604823202,NA,"0","1",-3.076039,NA
"MYBL2",0.558219475650101,0.271568669031937,-0.583360563604645,NA,"0","3",-3.1728542,NA
"KIAA1958",0.246467388161047,0.514547754329509,-0.0446507166653119,NA,"0","1",-3.5185463,NA
"GABRG2",0.110617027109702,0.215788851410099,0.846678518357387,NA,"0","2",-3.1697257,NA
"SKIDA1",-0.0635713610997726,0.53238423171023,-0.0966425717172128,NA,"0","1",-3.6435208,NA
"PSMA3",-3.45996519633681,-0.191560965891813,-0.575149512748605,NA,"0","3",-3.3838043,NA
"TTC37",-2.93232464175257,0.22480720829734,0.412244086897081,NA,"0","2",-3.276188,NA
"PCYT1A",1.13386790218423,0.169412461614078,-0.000365776055941992,NA,"0","1",-3.540855,NA
"AP1G1",-1.25055918310561,-0.231049724295563,0.348682800946703,NA,"0","2",-3.2916112,NA
"FEZF2",0.0809807324944029,-1.08596185009049,-0.306621063152714,NA,"0","3",-3.2665505,NA
"FGF19",1.36238343593441,0.156889363274884,-0.0136827263006582,NA,"0","1",-3.5402112,NA
"MSL3",-0.702509819515348,-0.386729541121004,0.345549877797035,NA,"0","2",-3.2298415,NA
"SON",-6.87363844124302,1.7753843904261,0.129532956073896,NA,"0","1",-3.2268226,NA
"DNAJC5",-0.78054254172444,-0.568169540203633,0.315829071080121,NA,"0","2",-3.2372887,NA
"FBXO22",0.0715011467219801,0.336788873493077,-0.111483101823154,NA,"0","1",-3.2860656,NA
"TNFRSF8",1.35872360245907,0.179285929669152,-0.0162930780927399,NA,"0","1",-3.490829,NA
"HDAC11",0.449555797331114,-0.0826006976499028,0.0102348639875243,NA,"0","1",-3.6196673,NA
"SSR2",-4.21315312258476,-0.503705068342043,-0.473747608952307,NA,"0","3",-3.3017523,NA
"ACTG1",-7.24849015357372,2.06010441630031,0.408625429117707,NA,"0","2",-3.2052271,NA
"PNN",-4.30934484869883,0.359739791822484,-0.0799406576503149,NA,"0","1",-3.3754833,NA
"RUNX1T1",-3.11628231447536,-0.31398411891923,1.92098252184814,NA,"0","2",-2.8056753,NA
"APBB1",-2.9962302459937,-0.886925174562006,0.542346436818602,NA,"0","2",-3.305226,NA
"CERS4",0.218339981637096,-0.643546523615945,0.00655356696932302,NA,"0","1",-3.4866269,NA
"CELF4",-2.92011967901535,1.11730040470915,2.31876446410344,NA,"0","2",-2.9569068,NA
"ZBTB14",0.0856902162050129,-0.266900755540738,-0.011431388929156,NA,"0","1",-3.6418316,NA
"ATAT1",-2.02815482771012,-2.94603960125203,-0.079576028346201,NA,"0","1",-3.2279627,NA
"RBBP5",-0.513749921132651,-0.574004235541449,0.00518167179507609,NA,"0","1",-3.3537674,NA
