"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba"
"SPRY2",0.253211009174312,0.400497512437811,0.224137931034483,0.398373983739837,0.228813559322034,0.10752688172043,0.1,0.119047619047619,0.27710843373494,0.0731707317073171,0.527777777777778,0.793650793650794,0.0476190476190476,0.02,0.55,0.0571428571428571,0.56,0.0909090909090909,0,0.0666666666666667,0.642857142857143,0.0833333333333333,0.454545454545455,0.4,0.191304347826087,0.55,0.5,0.121621621621622,0.295774647887324,0.0769230769230769,0.0526315789473684,0.037037037037037,0.479166666666667,0.0652173913043478,0.130434782608696,0.0465116279069767,0.0232558139534884,0.232558139534884,0.102564102564103,0.108108108108108,0.205882352941176,0.0606060606060606,0.1875,0.1,0.103448275862069,0.0344827586206897,0.0740740740740741,0.230769230769231,0.16,0.541666666666667,0.130434782608696,0.0909090909090909,0.238095238095238,0.142857142857143,0.142857142857143,0.285714285714286,0.55,0.263157894736842,0.0555555555555556,0.277777777777778,0.0555555555555556,0.277777777777778,0.529411764705882,0,0.0588235294117647,0.0588235294117647,0.1875,0.0625,0.0625,0,0.230769230769231,0.307692307692308,0.230769230769231,0.384615384615385,0,0,0.166666666666667,0.2,0.2,0.3
"ANK2",0.842201834862385,0.91044776119403,0.758620689655172,0.886178861788618,0.88135593220339,0.537634408602151,0.755555555555556,0.654761904761905,0.783132530120482,0.792682926829268,0.847222222222222,0.984126984126984,0.619047619047619,0.24,0.9,0.314285714285714,0.8,0.636363636363636,0.5,0.4,0.857142857142857,0.666666666666667,0.818181818181818,0.7,0.217391304347826,0.55,0.5125,0.554054054054054,0.154929577464789,0.461538461538462,0.12280701754386,0.240740740740741,0.291666666666667,0.760869565217391,0.173913043478261,0.627906976744186,0.209302325581395,0.116279069767442,0.358974358974359,0.162162162162162,0.117647058823529,0.121212121212121,0.125,0.833333333333333,0.620689655172414,0.620689655172414,0.222222222222222,0.615384615384615,0.56,0.333333333333333,0.304347826086957,0.818181818181818,0.80952380952381,0.523809523809524,0.476190476190476,0.285714285714286,0.35,0.684210526315789,0.833333333333333,0.277777777777778,0.277777777777778,0.777777777777778,0.294117647058824,0.647058823529412,0.411764705882353,0.294117647058824,0.375,0.5625,0.9375,0.8,0.846153846153846,0.692307692307692,0.461538461538462,0.384615384615385,0.666666666666667,0.666666666666667,1,0.7,0.7,0.4
"SMARCC2",0.763302752293578,0.669154228855721,0.637931034482759,0.821138211382114,0.567796610169492,0.666666666666667,0.677777777777778,0.833333333333333,0.614457831325301,0.707317073170732,0.75,0.793650793650794,0.444444444444444,0.5,0.725,0.6,0.6,0.363636363636364,0.75,0.733333333333333,0.785714285714286,0.666666666666667,0.818181818181818,0.5,0.304347826086957,0.54,0.7125,0.418918918918919,0.464788732394366,0.369230769230769,0.403508771929825,0.185185185185185,0.583333333333333,0.739130434782609,0.347826086956522,0.465116279069767,0.418604651162791,0.418604651162791,0.384615384615385,0.459459459459459,0.470588235294118,0.272727272727273,0.4375,0.566666666666667,0.586206896551724,0.655172413793103,0.333333333333333,0.5,0.68,0.583333333333333,0.608695652173913,0.545454545454545,0.523809523809524,0.666666666666667,0.476190476190476,0.428571428571429,0.5,0.473684210526316,0.722222222222222,0.333333333333333,0.666666666666667,0.555555555555556,0.411764705882353,0.470588235294118,0.411764705882353,0.588235294117647,0.4375,0.3125,0.8125,0.733333333333333,0.538461538461538,0.461538461538462,0.692307692307692,0.615384615384615,0.5,0.666666666666667,0.583333333333333,0.7,0.3,0.6
"CHD8",0.429357798165138,0.420398009950249,0.28735632183908,0.520325203252033,0.254237288135593,0.43010752688172,0.344444444444444,0.511904761904762,0.36144578313253,0.280487804878049,0.305555555555556,0.555555555555556,0.238095238095238,0.2,0.525,0.171428571428571,0.2,0.136363636363636,0.25,0.266666666666667,0.0714285714285714,0.25,0.454545454545455,0.4,0.28695652173913,0.33,0.3625,0.175675675675676,0.225352112676056,0.153846153846154,0.157894736842105,0.0925925925925926,0.145833333333333,0.304347826086957,0.326086956521739,0.395348837209302,0.116279069767442,0.232558139534884,0.205128205128205,0.216216216216216,0.117647058823529,0.151515151515152,0.25,0.3,0.344827586206897,0.275862068965517,0.0740740740740741,0.384615384615385,0.4,0.125,0.173913043478261,0.272727272727273,0.428571428571429,0.19047619047619,0.238095238095238,0.142857142857143,0.15,0.631578947368421,0.5,0.166666666666667,0.222222222222222,0.333333333333333,0.352941176470588,0.117647058823529,0.117647058823529,0.176470588235294,0.1875,0.375,0.4375,0.2,0.538461538461538,0.230769230769231,0.461538461538462,0.307692307692308,0.0833333333333333,0.25,0.25,0.5,0.3,0.1
"GIGYF1",0.58348623853211,0.487562189054726,0.28735632183908,0.634146341463415,0.466101694915254,0.43010752688172,0.288888888888889,0.583333333333333,0.469879518072289,0.280487804878049,0.555555555555556,0.650793650793651,0.206349206349206,0.28,0.625,0.2,0.44,0.363636363636364,0.375,0.133333333333333,0.571428571428571,0.416666666666667,0.545454545454545,0.4,0.130434782608696,0.14,0.275,0.148648648648649,0.225352112676056,0.184615384615385,0.157894736842105,0.111111111111111,0.166666666666667,0.326086956521739,0.108695652173913,0.186046511627907,0.13953488372093,0.13953488372093,0.102564102564103,0.135135135135135,0.0882352941176471,0.0909090909090909,0.25,0.133333333333333,0.172413793103448,0.206896551724138,0.111111111111111,0.192307692307692,0.08,0.125,0.0434782608695652,0.0454545454545455,0.19047619047619,0.285714285714286,0.19047619047619,0.333333333333333,0.3,0.157894736842105,0.277777777777778,0.333333333333333,0.111111111111111,0.111111111111111,0.117647058823529,0.117647058823529,0,0.235294117647059,0.0625,0.125,0.3125,0.133333333333333,0.384615384615385,0.153846153846154,0.153846153846154,0.384615384615385,0.166666666666667,0.0833333333333333,0.25,0.4,0,0.2
"ARHGEF9",0.411009174311927,0.365671641791045,0.218390804597701,0.382113821138211,0.322033898305085,0.376344086021505,0.266666666666667,0.321428571428571,0.36144578313253,0.353658536585366,0.402777777777778,0.492063492063492,0.396825396825397,0.14,0.5,0.285714285714286,0.12,0.0454545454545455,0.1875,0.466666666666667,0.142857142857143,0.416666666666667,0.363636363636364,0.4,0.139130434782609,0.23,0.2625,0.175675675675676,0.112676056338028,0.153846153846154,0.105263157894737,0.111111111111111,0.270833333333333,0.347826086956522,0.152173913043478,0.116279069767442,0.162790697674419,0.13953488372093,0.230769230769231,0.189189189189189,0.205882352941176,0.0909090909090909,0.15625,0.0333333333333333,0.172413793103448,0.137931034482759,0.222222222222222,0.423076923076923,0.2,0.0416666666666667,0.217391304347826,0.0909090909090909,0.476190476190476,0.19047619047619,0.238095238095238,0.19047619047619,0.15,0.473684210526316,0.388888888888889,0.0555555555555556,0.222222222222222,0.0555555555555556,0.176470588235294,0.235294117647059,0.117647058823529,0.294117647058824,0.0625,0.375,0.25,0.133333333333333,0.307692307692308,0.307692307692308,0.153846153846154,0.384615384615385,0.25,0.166666666666667,0,0.3,0.2,0.1
"ZMYND8",0.609174311926606,0.527363184079602,0.505747126436782,0.67479674796748,0.491525423728814,0.602150537634409,0.488888888888889,0.630952380952381,0.409638554216867,0.48780487804878,0.638888888888889,0.698412698412698,0.571428571428571,0.46,0.65,0.657142857142857,0.52,0.181818181818182,0.3125,0.6,0.857142857142857,0.666666666666667,0.636363636363636,0.6,0.243478260869565,0.42,0.325,0.378378378378378,0.197183098591549,0.323076923076923,0.298245614035088,0.296296296296296,0.3125,0.565217391304348,0.41304347826087,0.325581395348837,0.348837209302326,0.255813953488372,0.307692307692308,0.378378378378378,0.5,0.0606060606060606,0.34375,0.466666666666667,0.379310344827586,0.586206896551724,0.37037037037037,0.384615384615385,0.4,0.166666666666667,0.391304347826087,0.454545454545455,0.619047619047619,0.619047619047619,0.333333333333333,0.571428571428571,0.3,0.473684210526316,0.388888888888889,0.277777777777778,0.555555555555556,0.444444444444444,0.352941176470588,0.411764705882353,0.235294117647059,0.411764705882353,0.375,0.25,0.625,0.533333333333333,0.538461538461538,0.230769230769231,0.230769230769231,0.230769230769231,0.25,0.166666666666667,0.416666666666667,0.5,0.5,0.7
"MED13",0.552293577981651,0.509950248756219,0.413793103448276,0.609756097560976,0.372881355932203,0.537634408602151,0.366666666666667,0.511904761904762,0.518072289156627,0.390243902439024,0.458333333333333,0.714285714285714,0.285714285714286,0.36,0.625,0.428571428571429,0.52,0.227272727272727,0.25,0.2,0.5,0.333333333333333,0.727272727272727,0.3,0.234782608695652,0.43,0.45,0.283783783783784,0.338028169014085,0.292307692307692,0.333333333333333,0.222222222222222,0.375,0.521739130434783,0.41304347826087,0.395348837209302,0.186046511627907,0.232558139534884,0.358974358974359,0.351351351351351,0.470588235294118,0.303030303030303,0.3125,0.4,0.482758620689655,0.482758620689655,0.37037037037037,0.346153846153846,0.24,0.375,0.304347826086957,0.363636363636364,0.380952380952381,0.285714285714286,0.19047619047619,0.333333333333333,0.35,0.526315789473684,0.333333333333333,0.555555555555556,0.444444444444444,0.444444444444444,0.294117647058824,0.294117647058824,0.176470588235294,0.352941176470588,0.25,0.5,0.5625,0.266666666666667,0.615384615384615,0.230769230769231,0.384615384615385,0.384615384615385,0.166666666666667,0.25,0.5,0.7,0,0.3
"RERE",0.827522935779817,0.793532338308458,0.781609195402299,0.894308943089431,0.711864406779661,0.817204301075269,0.711111111111111,0.80952380952381,0.831325301204819,0.719512195121951,0.777777777777778,0.841269841269841,0.793650793650794,0.82,0.75,0.914285714285714,0.68,0.772727272727273,0.5,0.466666666666667,0.928571428571429,0.75,0.909090909090909,0.8,0.582608695652174,0.62,0.625,0.567567567567568,0.436619718309859,0.323076923076923,0.578947368421053,0.611111111111111,0.5,0.565217391304348,0.739130434782609,0.697674418604651,0.488372093023256,0.558139534883721,0.58974358974359,0.783783783783784,0.764705882352941,0.545454545454545,0.625,0.633333333333333,0.379310344827586,0.896551724137931,0.518518518518518,0.846153846153846,0.68,0.5,0.608695652173913,0.681818181818182,0.523809523809524,0.714285714285714,0.523809523809524,0.761904761904762,0.5,0.631578947368421,0.722222222222222,0.277777777777778,0.611111111111111,0.277777777777778,0.411764705882353,0.352941176470588,0.352941176470588,0.411764705882353,0.25,0.625,0.5625,0.333333333333333,0.538461538461538,0.461538461538462,1,0.230769230769231,0.166666666666667,0.916666666666667,0.583333333333333,0.7,0.7,0.6
"MEF2C",0.842201834862385,0.980099502487562,0.913793103448276,0.861788617886179,0.898305084745763,0.419354838709677,0.744444444444444,0.488095238095238,0.855421686746988,0.817073170731707,0.958333333333333,0.984126984126984,0.666666666666667,0.08,1,0.314285714285714,0.64,0.863636363636364,0.75,0.2,0.714285714285714,0.833333333333333,0.818181818181818,1,0.860869565217391,0.07,0.175,0.148648648648649,0.845070422535211,0.107692307692308,0.0350877192982456,0,0.0625,0.0434782608695652,0.0652173913043478,0.0697674418604651,0.0232558139534884,0.627906976744186,0.205128205128205,0.027027027027027,0.0882352941176471,0,0.03125,0.0333333333333333,0.103448275862069,0.0344827586206897,0.037037037037037,0.0769230769230769,0.2,0.958333333333333,0.0869565217391304,0,0.0952380952380952,0.19047619047619,0,0.19047619047619,0.05,0.157894736842105,0.166666666666667,0.0555555555555556,0,0.0555555555555556,0.0588235294117647,0.0588235294117647,0,0.176470588235294,0,0.125,0.0625,0,0.153846153846154,0.0769230769230769,0,0.153846153846154,0,0,0,0,0,0.1
"NCKAP1",0.691743119266055,0.572139303482587,0.373563218390805,0.75609756097561,0.474576271186441,0.623655913978495,0.344444444444444,0.607142857142857,0.493975903614458,0.475609756097561,0.666666666666667,0.73015873015873,0.444444444444444,0.38,0.55,0.628571428571429,0.56,0.136363636363636,0.25,0.133333333333333,0.714285714285714,0.75,0.454545454545455,0.4,0.608695652173913,0.58,0.5625,0.378378378378378,0.591549295774648,0.323076923076923,0.421052631578947,0.222222222222222,0.395833333333333,0.456521739130435,0.369565217391304,0.348837209302326,0.255813953488372,0.441860465116279,0.282051282051282,0.648648648648649,0.470588235294118,0.121212121212121,0.40625,0.533333333333333,0.310344827586207,0.482758620689655,0.259259259259259,0.576923076923077,0.64,0.583333333333333,0.260869565217391,0.409090909090909,0.380952380952381,0.571428571428571,0.571428571428571,0.333333333333333,0.5,0.473684210526316,0.555555555555556,0.444444444444444,0.555555555555556,0.388888888888889,0.470588235294118,0.529411764705882,0.176470588235294,0.529411764705882,0.1875,0.4375,0.375,0.266666666666667,0.692307692307692,0.384615384615385,0.461538461538462,0.615384615384615,0.416666666666667,0.333333333333333,0.333333333333333,0.2,0.6,0.2
"STXBP1",0.891743119266055,0.783582089552239,0.752873563218391,0.853658536585366,0.796610169491525,0.849462365591398,0.766666666666667,0.702380952380952,0.795180722891566,0.75609756097561,0.763888888888889,0.857142857142857,0.841269841269841,0.34,0.9,0.914285714285714,0.72,0.681818181818182,0.8125,0.8,0.857142857142857,0.75,0.636363636363636,0.6,0.278260869565217,0.15,0.0125,0.324324324324324,0.211267605633803,0.215384615384615,0.087719298245614,0.037037037037037,0.0416666666666667,0.543478260869565,0.0217391304347826,0.27906976744186,0.116279069767442,0.302325581395349,0.230769230769231,0.0540540540540541,0.147058823529412,0.0303030303030303,0.0625,0.233333333333333,0.344827586206897,0.413793103448276,0.037037037037037,0.307692307692308,0.12,0.458333333333333,0,0.5,0.523809523809524,0.380952380952381,0.285714285714286,0.238095238095238,0,0.157894736842105,0.444444444444444,0.111111111111111,0.0555555555555556,0.222222222222222,0,0.411764705882353,0.235294117647059,0.0588235294117647,0,0.3125,0.5625,0.333333333333333,0.461538461538462,0.230769230769231,0,0.307692307692308,0.333333333333333,0.333333333333333,0.416666666666667,0.4,0.3,0.4
"RFX3",0.532110091743119,0.487562189054726,0.28735632183908,0.569105691056911,0.415254237288136,0.43010752688172,0.244444444444444,0.511904761904762,0.397590361445783,0.402439024390244,0.486111111111111,0.714285714285714,0.285714285714286,0.24,0.45,0.485714285714286,0.36,0.181818181818182,0.25,0.266666666666667,0.571428571428571,0.583333333333333,0.454545454545455,0.4,0.243478260869565,0.73,0.6125,0.27027027027027,0.225352112676056,0.307692307692308,0.43859649122807,0.185185185185185,0.4375,0.434782608695652,0.41304347826087,0.488372093023256,0.418604651162791,0.302325581395349,0.307692307692308,0.648648648648649,0.588235294117647,0.212121212121212,0.34375,0.233333333333333,0.586206896551724,0.310344827586207,0.333333333333333,0.423076923076923,0.72,0.333333333333333,0.260869565217391,0.409090909090909,0.476190476190476,0.380952380952381,0.761904761904762,0.380952380952381,0.7,0.421052631578947,0.444444444444444,0.5,0.611111111111111,0.555555555555556,0.352941176470588,0.294117647058824,0.176470588235294,0.823529411764706,0.4375,0.1875,0.375,0.266666666666667,0.538461538461538,0.230769230769231,0.461538461538462,0.461538461538462,0.416666666666667,0.166666666666667,0.5,0.3,0.5,0.5
