"","pi"
"PAPOLG",0.142560666385451
"FBXW5",0.00353282334588409
"POTEH",0.00354839499608563
"CTB-186H2.3",0.00350135298559515
"FLJ00273",0.00350135298559515
"CD93",0.00616168056928156
"MFHAS1",0.0394582267059876
"BTRC",0.0828443535208756
"FBH1",0.00350135298559515
"ANO9",0.0035458661391136
"SETD1A",0.00219962616855116
"WNT9B",0.00350135298559515
"LRRC4",0.0194588422840988
"NPIPB5",0.00157550740597566
"ZNF462",0.285936937753331
"ZMAT5",0.00282912078046245
"TLE3",0.318138125521957
"CYP17A1",0.00351021267690024
"EFR3A",0.0483406708127858
"ULK1",0.335688139538536
"S100G",0.00350135298559515
"TRERF1",0.0723692589286217
"IFRD2",0.00271013084574311
"EIF2A",0.0116605273493012
"MOB4",0.325939203026918
"ANKS4B",0.00195934317573211
"FAM72A",0.00644206586966218
"PARN",0.00777317595726274
"GSTM1",0.00300602241955173
"DNTT",0.00350135298559515
"SNTA1",0.00487222306985682
"KRTAP2-2",0.00350135298559515
"HECTD4",0.13007406594172
"DEFB128",0.00350135298559515
"TGM6",0.00350135298559515
"NBPF12",0.00299151375592806
"KLHDC10",0.435669034904698
"HTN1",0.00350135298559515
"SLC28A1",0.00608643341685107
"KATNAL2",0.00399202450008423
"ING1",0.0086014851855873
"MGRN1",0.00350166773103669
"SLC25A46",0.00423116806749874
"CHN2",0.0517396425882991
"C19orf33",0.00350135298559515
"WWC2",0.0667479643349496
"TOP3B",0.00186203545241062
"PRR12",0.0262133334371181
"TTC12",0.00368477328511096
"KCNT1",0.00560800802458484
"MCPH1",0.00434415033765146
"GSS",0.000847344846383045
"MOGS",0.00693979473274935
"PRAMEF10",0.00350135298559515
"HMGN2",0.386174612456677
"KRTAP5-2",0.00396409375230057
"EIF2AK1",0.0145285488896201
"PPP1R17",0.000403649809526763
"ERI1",0.00645724603281837
"NRG4",0.00366671139225631
"EMSY",0.00350135298559515
"TCEAL1",0.00926772150226625
"MBNL1",0.0151859435491485
"KIAA0232",0.309695806447055
"DUS1L",0.00729519638542051
"TMEM140",0.00380878085204253
"GRIN1",0.0074860582630851
"SLC16A1",0.00972244736835762
"IFNA5",0.00350135298559515
"HIST1H1A",0.00185078108165289
"TCF24",0.00350135298559515
"RYBP",0.286411715061344
"HIST1H2BK",0.016638024668779
"RPS6KA3",0.00553146809004267
"HIST1H1E",0.00141144966676793
"MYH2",0.00351021267690024
"TOMM7",0.0940002382692076
"TMEM14C",0.00740561299620136
"RIPPLY1",0.00351021267690024
"SMIM15",0.0408957394570637
"TPBGL",0.0035279963724462
"BDKRB2",0.00386444031599151
"NRSN2",0.00321227890911242
"IFITM1",0.00934278735479029
"ARF1",0.357103499169109
"MSH2",0.00891159092359763
"SCNN1D",0.0111174517182133
"RAC3",0.00151365787351565
"RPS12",0.436876727978084
"SMIM22",0.0035458661391136
