"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"UGT8",38,31,12,5,2,5,13,14,4,2,14,4,3,2,1,2,6,0,0,2,3,0,1,0,1,1,3,2,3,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5",28,19,10,18,3,7,1,8,4,2,3,5,0,0,2,1,1,0,0,0,0,2,0,0,2,5,5,4,0,4,0,0,0,1,0,2,0,2,1,1,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"ABHD11",180,83,29,43,19,20,15,27,15,16,15,23,12,3,13,10,9,2,10,1,2,2,3,3,2,1,0,1,3,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CLDN7",8,1,2,1,1,2,1,2,0,4,0,0,0,0,0,0,0,0,9,4,0,0,0,2,9,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"NUDT9",231,112,35,62,31,27,24,39,25,24,25,31,28,21,16,11,10,6,8,5,5,6,5,0,28,22,15,9,24,7,14,8,7,3,18,5,6,7,5,6,9,2,4,5,0,4,5,5,9,7,5,2,2,4,6,4,7,7,4,3,2,2,4,9,1,1,2,4,3,0,1,0,0,2,0,1,0,1,2,2,0,0
"IL2RG",0,13,2,0,1,1,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TADA3",380,219,77,94,52,53,42,51,45,43,43,48,31,26,20,18,10,9,10,8,9,5,6,3,15,19,23,6,13,2,5,2,10,1,16,3,3,3,5,8,9,2,4,3,0,6,4,8,4,4,5,4,3,4,6,7,6,5,1,2,4,3,3,0,0,0,0,1,0,2,1,0,4,0,0,5,2,1,3,2,0,0
"ZFP37",182,81,34,42,25,12,18,25,24,22,15,21,11,7,6,4,3,5,1,2,7,3,2,3,10,16,2,5,6,3,3,8,3,6,2,6,0,0,3,4,5,1,2,3,7,5,5,2,3,4,7,3,8,3,1,0,4,5,7,1,1,1,0,1,4,1,0,0,1,3,0,1,1,2,2,3,0,0,0,1,0,0
"MX2",0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL21R",7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM22",27,67,7,2,9,2,4,2,2,6,9,13,0,0,22,0,3,0,1,0,2,0,1,5,11,5,3,0,9,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EN1",5,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,24,7,19,5,6,26,14,2,12,14,15,9,2,3,19,15,10,8,5,5,11,6,11,1,1,9,3,3,20,6,1,2,6,17,4,4,3,2,2,3,4,1,8,5,9,11,4,10,2,6,1,5,2,3,7,0,2
"UNC5CL",4,2,1,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"C17orf75",366,222,70,91,51,54,37,53,44,36,36,46,29,29,25,23,19,4,8,8,10,9,8,7,8,16,16,12,6,6,8,9,8,7,11,12,9,5,6,5,9,6,8,7,6,11,4,16,9,2,2,7,5,6,2,4,3,0,2,3,6,3,4,6,3,2,3,2,5,5,4,3,1,1,2,7,2,3,2,1,0,0
"NODAL",15,15,3,6,3,0,2,1,1,3,2,4,0,0,0,0,0,0,0,0,2,0,0,0,42,1,1,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO32",156,88,20,53,19,7,16,25,18,2,7,11,1,3,8,2,3,1,2,2,4,0,4,0,18,3,2,1,4,2,0,1,1,3,0,2,3,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1
"ADPRM",126,63,15,38,24,17,12,24,19,19,7,13,20,10,5,11,0,4,4,5,1,6,1,1,7,18,1,4,3,1,5,2,1,3,2,5,7,1,0,5,5,0,1,2,2,4,1,5,2,1,0,1,3,4,0,2,0,2,1,2,1,1,0,0,1,2,2,0,0,1,0,0,1,2,1,2,0,1,0,0,0,0
"DNAJB4",98,63,15,35,13,12,7,14,12,9,12,13,8,8,8,5,3,1,3,5,6,2,7,4,108,79,66,14,63,10,20,13,24,8,14,6,11,34,11,22,15,6,8,6,2,8,6,6,20,13,2,2,5,7,16,9,8,6,4,8,9,11,9,3,2,13,7,2,2,3,1,3,10,5,3,3,1,3,5,1,0,0
"ZNF662",182,137,37,49,36,15,26,18,22,31,20,25,6,8,13,4,6,3,4,2,6,2,5,3,2,8,3,4,2,7,2,2,3,3,3,2,1,4,2,3,1,1,3,4,3,2,0,0,1,2,0,0,3,2,0,3,0,0,4,2,2,0,1,0,1,0,0,0,1,1,2,2,3,1,0,0,0,3,1,0,0,0
"MIEF2",141,61,18,29,20,12,9,3,16,11,11,14,6,5,11,4,1,2,0,1,3,2,3,0,2,3,2,5,1,2,2,0,1,4,1,1,1,2,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,2,1,1,1,2,1,1,1,3,0,0,1,2,0,0,5,0,2,0,0,0,0,0,1,1,0,0,0,0
"BEND7",71,30,8,26,6,1,5,10,8,4,13,8,1,3,2,2,3,1,0,1,3,0,0,0,2,7,8,3,1,2,3,5,2,3,3,1,0,2,3,3,1,2,3,1,2,4,3,1,1,0,1,1,4,0,2,0,3,1,4,0,2,3,2,0,0,0,0,0,3,1,2,1,0,0,1,0,0,2,1,1,0,0
"SMUG1",241,131,35,70,28,41,23,34,37,30,28,22,25,13,18,15,10,8,7,4,6,8,7,4,6,9,6,2,2,3,2,2,9,2,3,3,1,2,2,3,2,1,3,2,2,2,3,9,1,1,3,1,1,2,0,2,0,1,0,1,3,0,1,1,1,1,0,0,0,1,1,1,3,3,0,1,0,1,0,0,0,0
"DGAT2L6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIF4E2",382,208,90,97,44,58,52,58,55,43,40,38,32,28,25,21,18,9,9,10,8,9,8,6,43,42,25,22,24,7,22,12,13,11,19,11,9,21,9,14,15,10,12,13,6,8,8,9,6,13,7,5,2,5,5,3,7,6,6,5,5,5,4,5,4,3,7,6,2,3,3,4,3,2,0,7,1,2,2,4,0,0
"CLDN3",4,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCMTD1",278,149,61,69,35,33,31,34,46,29,21,26,20,15,19,10,13,6,9,3,8,5,4,5,37,35,24,20,21,10,13,14,8,10,18,18,9,9,6,11,13,6,7,11,6,12,7,6,9,10,4,8,6,10,8,4,2,9,6,6,4,4,4,2,3,4,3,4,4,4,6,2,2,3,1,3,3,1,6,1,0,0
"BAZ1B",284,191,72,82,36,52,38,57,32,40,32,32,20,27,18,19,10,8,3,6,7,6,6,6,40,44,33,23,34,21,33,21,23,23,26,21,25,17,11,25,26,9,15,18,17,17,13,19,12,9,12,9,10,4,8,9,11,6,7,11,8,8,7,11,5,6,6,6,9,7,5,8,11,5,7,4,4,5,5,6,0,1
"CALB2",177,157,86,49,20,69,36,59,37,19,22,24,6,34,16,32,9,12,2,4,2,0,5,6,1,7,0,3,1,3,0,1,2,3,0,2,0,1,2,0,0,0,0,2,0,2,0,0,0,0,1,0,1,2,0,0,0,9,1,0,1,1,0,1,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1
"OVGP1",10,17,3,4,3,1,0,2,2,2,1,2,0,0,1,0,1,0,1,0,0,0,0,0,3,3,3,2,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"SS18",248,129,56,81,30,39,29,44,36,28,40,35,21,32,14,16,16,7,3,7,8,9,5,3,41,30,18,9,26,3,21,9,7,6,15,11,9,10,6,11,14,8,10,4,3,7,5,16,14,9,7,6,3,2,6,5,3,6,6,4,4,3,5,5,4,3,3,2,2,2,2,6,3,3,3,4,2,2,4,2,0,0
"CPQ",33,29,6,17,6,0,3,5,3,1,9,20,0,4,10,1,2,1,0,0,0,2,4,1,18,11,10,1,20,1,4,2,3,1,2,0,1,3,2,8,3,2,2,1,0,1,2,2,15,1,3,0,0,0,7,1,2,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"IL20RA",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SMYD1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSC5D",6,4,3,1,1,0,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"DACT3",105,125,31,23,19,6,9,7,12,6,19,24,3,1,13,3,4,1,0,0,1,1,2,1,32,15,6,7,23,3,2,0,3,8,4,4,3,1,2,0,0,0,1,5,8,4,2,4,3,2,1,2,5,4,2,5,1,4,5,1,4,1,1,4,2,1,1,5,4,2,3,3,3,0,2,4,2,1,1,4,0,0
"ZNF214",29,19,6,14,5,2,2,6,4,6,2,4,0,1,3,0,1,0,1,0,1,1,1,0,0,9,5,3,2,1,1,5,0,2,1,0,0,3,1,4,2,0,1,1,1,1,1,3,0,0,2,3,1,0,2,0,1,1,2,0,0,0,1,1,1,4,4,1,2,0,0,1,2,1,0,1,1,0,0,0,0,0
"ANKRD33B",13,7,4,1,2,0,0,2,0,0,3,1,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,2,2,0,0,1,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ZNF641",121,104,24,22,18,6,10,10,14,7,12,21,5,1,13,0,1,2,2,3,0,1,2,5,14,8,2,6,15,2,5,3,3,8,3,6,2,3,3,0,2,1,1,6,2,1,1,0,2,0,2,0,4,2,1,0,2,1,1,1,3,1,0,3,0,2,0,1,3,1,2,1,0,1,0,1,1,1,2,1,0,0
"RNF32",31,9,4,5,2,2,0,1,3,2,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,4,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FKBP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CKAP2",265,105,27,100,31,33,14,60,38,32,35,28,16,27,13,14,11,6,5,5,7,5,8,1,27,28,23,10,13,12,38,16,20,7,28,9,13,8,8,20,27,16,18,7,9,12,11,11,5,3,14,2,6,0,1,9,8,4,3,11,8,11,9,3,2,3,9,5,2,3,2,7,8,4,1,5,2,3,4,1,0,0
"HDX",117,50,19,20,16,15,11,8,5,13,15,10,15,6,3,6,5,2,0,1,2,6,2,1,9,7,6,5,4,6,1,4,1,4,6,1,3,2,2,3,1,4,3,3,2,3,0,1,3,2,0,2,1,2,2,0,2,0,1,2,1,2,2,0,1,3,0,3,4,1,3,0,1,0,1,0,0,3,0,0,0,0
"CREB3L1",1,6,4,0,1,0,0,2,0,2,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"ATOH8",18,5,5,10,0,0,3,6,2,0,4,1,0,2,1,0,4,0,0,0,0,0,0,0,0,2,3,0,1,0,2,1,3,0,2,2,0,1,1,2,5,1,2,0,0,0,1,0,3,0,3,0,0,0,0,2,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0
"TFAM",316,162,61,82,34,44,28,54,32,42,24,30,27,29,16,21,12,8,6,2,7,8,8,2,30,42,19,25,16,6,24,17,12,10,24,13,14,10,10,17,24,8,10,8,7,11,6,7,8,7,6,4,6,7,1,5,8,8,3,6,7,6,3,6,5,5,5,12,1,5,5,3,6,4,0,5,3,5,3,2,0,0
"C7orf25",77,66,13,32,12,6,8,9,6,7,19,12,9,5,6,4,4,3,1,4,3,3,3,0,8,5,8,4,3,3,1,0,3,0,3,0,0,2,3,1,0,3,1,0,0,3,2,1,3,2,1,1,1,3,1,1,2,1,2,1,2,2,0,0,0,1,0,1,1,0,0,1,4,0,1,2,0,1,0,0,1,1
"RAB33B",213,109,39,47,36,15,24,17,18,16,16,18,10,3,11,1,4,0,3,1,2,3,6,4,8,12,7,4,11,0,3,2,4,5,5,6,0,9,3,2,4,0,2,2,0,2,1,2,10,2,2,1,3,4,2,2,1,2,3,2,2,0,0,1,0,1,0,0,2,1,0,0,0,3,1,1,0,0,1,0,0,0
"NME7",181,86,38,52,25,34,23,25,26,23,19,20,22,19,3,12,9,7,6,9,3,4,3,1,23,44,9,10,8,7,13,6,4,4,15,4,13,6,3,11,10,7,12,5,4,9,1,7,7,3,5,6,2,4,8,4,4,2,3,4,7,5,6,2,4,5,4,4,2,3,2,2,5,5,4,4,0,1,2,4,0,0
"MYF5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOX3",259,191,62,74,44,17,31,38,36,23,28,30,6,22,19,3,10,4,1,1,7,2,3,2,12,43,30,9,3,14,26,26,14,17,15,18,12,1,5,19,16,3,12,14,15,11,5,6,9,2,17,10,8,2,3,2,4,9,9,8,8,5,8,3,3,6,4,5,4,6,7,10,10,8,3,2,4,8,5,5,0,0
"MYZAP",3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"VTI1A",79,44,15,16,11,11,5,13,5,5,15,14,4,6,5,3,2,1,3,3,3,1,1,1,8,6,3,5,4,4,5,4,3,4,6,2,5,4,3,2,5,1,2,3,2,1,0,2,0,4,0,1,1,2,0,0,4,2,0,1,0,0,2,1,0,0,0,0,1,2,1,0,1,0,2,2,0,1,1,1,0,0
"PPM1F",103,110,20,31,21,12,10,13,19,11,16,16,3,5,9,4,4,3,1,0,0,3,4,2,16,8,5,3,15,3,2,3,4,2,1,0,2,11,2,2,2,1,1,7,2,1,0,1,1,6,0,0,3,4,0,2,0,1,3,0,1,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"ZNF415",143,100,18,31,20,10,9,15,15,14,10,20,4,9,8,4,7,1,2,6,4,0,4,3,4,8,10,5,3,3,2,2,2,5,4,2,4,3,1,6,6,1,1,4,1,2,0,2,4,3,3,1,2,3,1,1,0,3,2,0,0,1,1,0,1,0,0,0,0,1,2,1,0,2,0,2,0,0,0,0,0,0
"PHOX2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,21,0,20,0,0,1,3,14,1,0,1,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0
"NAP1L4",461,323,143,117,87,79,79,74,65,62,60,57,47,43,34,29,23,16,13,13,12,11,9,9,33,63,52,31,30,19,31,26,29,19,26,16,20,13,21,19,27,16,18,16,9,18,9,19,18,13,15,9,11,6,16,12,12,9,11,7,13,11,9,10,6,9,10,8,6,9,7,5,11,3,6,8,5,5,5,4,0,0
"CA9",5,1,3,4,1,1,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC15A3",1,4,1,2,1,0,1,3,1,0,1,0,0,0,19,0,0,0,1,0,0,0,3,4,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"SULT4A1",316,222,61,69,54,39,25,24,31,26,38,41,24,5,22,13,7,3,5,6,7,2,7,5,5,5,2,14,4,2,2,1,0,13,2,2,2,1,3,0,0,1,0,1,5,5,0,6,1,0,0,1,7,6,0,3,0,2,6,2,1,1,0,1,1,1,0,3,3,2,5,2,1,3,0,1,0,1,1,1,0,0
"FRMD5",98,81,21,20,10,19,13,27,13,11,12,17,8,2,8,8,4,2,0,2,2,4,1,1,1,8,5,6,0,3,2,2,1,7,4,4,3,1,2,1,3,1,2,2,8,2,4,1,1,0,2,3,6,0,1,1,1,1,1,1,2,3,2,2,1,0,0,0,2,4,1,3,0,2,0,1,3,0,1,0,0,1
"THRAP3",405,250,128,109,64,82,71,74,54,71,59,47,45,38,32,33,21,14,14,13,10,11,9,8,65,64,50,17,32,18,33,22,23,18,32,23,19,22,10,27,27,16,22,16,10,20,12,20,13,10,14,9,9,11,13,12,12,12,9,8,10,11,9,9,3,11,11,9,6,5,6,5,11,4,4,7,4,3,6,5,1,0
"SMYD3",234,113,33,56,29,34,33,28,25,32,22,22,37,16,27,20,7,6,5,13,6,9,4,5,17,5,8,9,7,3,8,4,3,2,3,3,3,3,4,8,4,5,4,3,2,6,1,6,3,2,1,0,0,1,1,2,2,2,6,1,1,3,1,4,2,2,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0
"SLC7A13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCYOX1L",105,67,14,26,13,16,14,16,6,8,18,18,7,6,7,6,5,2,3,1,2,1,4,0,3,11,11,4,1,5,2,3,5,3,1,5,1,1,3,1,3,1,3,2,2,2,3,1,1,0,3,0,3,3,0,2,2,2,0,0,1,1,2,1,0,2,1,0,2,0,1,1,1,0,0,0,1,0,1,0,1,0
"RNF144B",18,6,8,2,1,1,0,4,2,1,0,1,0,0,4,0,0,0,0,0,0,0,3,3,2,1,4,0,1,0,0,0,0,1,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"HERPUD2",207,153,48,61,27,22,11,32,30,19,23,30,21,15,17,6,2,1,3,4,5,3,4,4,22,14,20,8,6,7,6,5,5,8,8,3,4,12,4,6,10,4,3,2,6,7,6,3,9,3,2,3,3,2,6,3,3,1,3,3,5,2,3,4,2,3,1,1,4,4,3,2,1,2,2,2,2,3,1,0,0,0
"LGMN",272,164,68,57,34,36,31,26,29,27,33,39,37,18,38,15,9,4,12,6,9,6,10,10,29,33,19,7,15,2,3,2,5,2,9,1,1,9,1,3,5,4,5,4,5,5,3,4,7,6,3,2,1,4,6,2,2,1,2,0,3,4,4,2,2,1,5,2,3,1,1,1,3,1,1,0,1,0,0,1,0,0
"SKP2",143,67,11,50,10,16,14,40,15,7,19,20,5,20,11,8,2,4,8,1,3,5,3,1,8,17,18,2,11,4,18,2,5,3,17,3,6,4,7,13,12,10,5,3,1,3,7,10,7,2,6,1,2,2,1,2,5,2,0,4,4,4,4,0,1,0,3,2,1,0,2,3,4,5,1,3,1,1,1,1,1,0
"ZAR1",0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUSP10",31,24,6,21,22,2,23,11,4,10,15,4,0,11,5,5,6,2,0,3,1,1,0,0,13,18,7,6,3,7,5,0,3,6,5,3,1,5,2,2,4,1,3,3,4,1,2,4,1,6,4,0,1,2,4,2,1,3,1,3,0,6,4,0,1,2,1,1,0,1,2,0,0,2,0,3,1,3,1,1,0,0
"SLC17A4",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"MS4A14",0,5,0,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPIE",258,125,55,75,34,42,27,48,34,37,38,29,21,25,17,13,10,7,11,9,9,4,7,6,32,46,22,15,23,3,15,11,10,6,13,11,10,13,4,12,16,12,11,8,5,7,8,8,8,9,8,7,5,7,8,3,5,3,5,9,9,5,4,6,2,4,7,7,0,2,0,3,6,0,0,4,3,1,2,3,0,0
"IGSF21",143,169,28,26,37,27,8,22,14,7,35,36,5,7,14,15,4,3,1,6,5,0,4,2,2,3,1,7,0,2,1,0,1,4,0,0,1,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,4,3,2,1,2,1,1,0,0,0,0,2,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
"LEKR1",2,4,3,0,0,1,2,3,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GJB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDM8",37,14,2,21,3,7,4,4,4,1,3,5,0,2,4,4,1,2,0,1,0,0,0,0,2,3,1,0,0,1,0,1,1,1,0,0,2,0,1,2,2,2,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
