"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"ECHDC3",8,4,0,0,0,3,0,7,1,0,1,1,2,1,2,1,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CRP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAU2",403,235,84,94,56,68,50,63,51,47,36,41,47,28,23,28,13,15,13,10,12,11,9,5,37,48,32,35,28,15,31,18,14,22,28,15,17,18,12,21,22,9,15,15,13,19,8,23,8,11,9,9,11,13,8,8,8,14,13,7,7,7,9,7,4,6,6,8,5,4,6,3,9,5,8,10,4,9,6,5,0,0
"PDXP",305,203,39,73,48,40,17,44,28,18,34,37,12,9,27,9,5,2,0,7,6,5,6,3,11,22,20,18,7,11,8,3,5,13,7,10,3,2,10,7,6,2,8,9,4,11,3,8,1,1,3,5,11,5,3,5,1,5,9,2,4,4,4,1,2,2,1,5,5,2,3,2,4,2,2,4,5,2,0,4,0,0
"BRI3",304,164,52,69,36,33,22,47,30,28,25,43,24,19,30,10,11,4,9,5,8,5,9,7,14,15,24,12,17,5,7,2,5,4,11,7,4,12,3,6,15,1,6,4,2,7,5,1,7,5,3,2,5,3,7,5,3,3,4,3,4,3,2,4,3,1,0,1,2,3,1,3,2,3,0,2,2,3,1,0,0,0
"BTG2",159,104,32,49,34,26,10,18,20,14,18,27,18,17,34,9,7,4,6,7,5,5,10,10,58,67,52,14,52,12,14,13,20,9,15,14,12,28,9,15,13,10,10,8,5,8,7,6,17,16,5,3,9,6,16,6,7,9,8,5,6,12,0,2,0,6,1,3,3,7,2,3,10,5,1,2,4,2,3,2,0,0
"RFPL4B",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZCCHC18",112,80,33,25,20,12,19,14,13,16,12,18,3,0,6,6,7,1,1,0,0,1,0,0,2,6,7,6,1,2,2,2,3,3,3,2,3,1,2,2,0,0,2,3,2,3,0,1,6,2,3,2,2,3,4,1,1,0,1,1,1,2,0,0,0,0,1,4,2,1,2,0,1,1,0,1,1,0,0,0,0,0
"ARIH2OS",181,147,40,39,28,36,22,41,25,15,18,25,19,18,13,12,7,3,4,1,2,4,3,4,2,6,3,1,3,2,5,4,0,0,3,2,1,4,2,6,3,2,1,4,0,5,3,2,1,0,0,1,1,1,1,0,2,1,0,0,2,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2,1,0
"MRPS12",267,130,32,70,26,36,19,41,23,26,31,34,20,19,16,13,7,4,9,8,8,5,6,1,10,11,6,6,7,1,4,8,3,0,6,5,2,4,0,4,3,1,1,1,3,5,2,4,2,2,2,4,5,0,2,0,3,0,3,1,1,3,1,2,1,0,1,1,0,1,1,0,3,0,0,1,1,2,2,0,0,0
