"","real.log.BF"
"AIF1L",-7.25277333476465
"IL20",-6.19590726494337
"LSM3",-7.11473691404154
"MORN4",-3.90918545146254
"FAM168B",-2.24823836782276
"GLTP",-4.26988626638298
"LDLRAD2",-6.26821467376482
"C6orf47",-7.15030356949136
"SCARA3",-8.75700241930068
"KRIT1",-5.25657070465313
"GPR31",-6.25133221083897
"PABPC1L",-8.64301170746021
"GPX4",-8.13219160662307
"ABTB1",-8.85409343725358
"SIRPB2",-6.23183125205339
"ITSN1",-5.96965661164334
"TCF12",-6.88338766637457
"PRKD3",-9.46764879352613
"KLC1",-3.53532778714887
"TPRX1",-6.22535357888173
"C2orf40",-6.61733878108306
"CHCHD4",-5.97548636926609
"UPP1",-4.38365033359303
"DESI2",-3.29301639934329
"PRR23A",-6.46568922927298
"OLFM3",-4.13480256076709
"NUDT4",-6.1489143399739
"SNX22",-5.70669779825301
"TIFA",-7.01001025416261
"EPHB1",-5.49267123507482
"C11orf68",-5.26246494854579
"CACNA1D",-11.0666137713569
"KIRREL3",-5.26809237449675
"PRR30",-6.24973414695169
"ATOH1",-7.00986903827753
"NUAK1",-4.47457860862713
"GVQW3",-6.26804036763146
"TCTE3",-3.55048844038572
"GARNL3",-9.17441118118364
"CALHM3",-6.32167031956585
"EMCN",-5.15788765191297
"EFCAB8",-6.27504607912293
"FAM177A1",-4.78886857311448
"SPRY1",-5.09657208252818
"NCAPG",-8.29195748351844
"AZGP1",-6.24813583035897
"RGS2",-2.8110087917104
"ARHGDIB",-7.47993478348233
"ADTRP",-6.31501716044779
"CD151",-5.42159220795033
"G3BP2",11.0944118724017
"CXXC5",-4.04503808117968
"RESP18",-6.2583517939274
"EOGT",-7.04385725383732
"TKT",-6.74903303314435
"NT5M",-5.87099338020471
"KATNAL1",-1.41999312121867
"IFI44L",-5.21420105212041
"VGLL2",-4.41897477722069
"RWDD2A",-6.46830363854563
"MPLKIP",-8.52190178348521
"IFNG",-6.31538038909398
"EMC9",-5.40539341701892
"KIAA0319",-7.06443104082414
"BAD",-8.02949335140677
"POLRMT",-6.16735066503383
"CEACAM19",-5.48704515531491
"C20orf173",-6.22807663304112
"ARL13A",-6.36006731949224
"ASF1A",-4.43016520469333
"FAM71F2",-4.00588540421545
"MYL12A",-4.83946800986323
"NEFM",-4.23414445070761
"CELA3A",-7.12807745323883
"CDK13",-3.93078812117065
"KIF9",-6.66995394518326
"HES5",-5.04645747950104
"VSIG2",-6.07633698908731
"TMEM241",-6.15645742261627
"SPIC",-6.36298609920416
"NSMCE1",-6.8426272672499
"BRF1",-4.72853337529796
