"","genes","HGNC","conditions","group","labels"
"101","PHIP","PHIP","SPARK.risk","SPARK.risk.xz","PHIP"
"102","PPP2R5D","PPP2R5D","SPARK.risk","SPARK.risk.xz","PPP2R5D"
"103","KCNQ3","KCNQ3","SPARK.risk","SPARK.risk.xz","KCNQ3"
"104","AUTS2","AUTS2","SPARK.risk","SPARK.risk.xz","AUTS2"
"105","IQSEC2","IQSEC2","SPARK.risk","SPARK.risk.xz","IQSEC2"
"106","RAI1","RAI1","SPARK.risk","SPARK.risk.xz","RAI1"
"107","TSC2","TSC2","SPARK.risk","SPARK.risk.xz","TSC2"
"108","WDFY3","WDFY3","SPARK.risk","SPARK.risk.xz","WDFY3"
"109","PUSL1","PUSL1","control.LGD","control.LGD",""
"110","KLHL21","KLHL21","control.LGD","control.LGD",""
"111","PLOD1","PLOD1","control.LGD","control.LGD",""
"112","AGO1","AGO1","control.LGD","control.LGD",""
"113","SERBP1","SERBP1","control.LGD","control.LGD",""
"114","BCAR3","BCAR3","control.LGD","control.LGD",""
"115","GSTM2","GSTM2","control.LGD","control.LGD",""
"116","NBPF9","NBPF9","control.LGD","control.LGD",""
"117","LIX1L","LIX1L","control.LGD","control.LGD",""
"118","CERS2","CERS2","control.LGD","control.LGD",""
"119","RHBG","RHBG","control.LGD","control.LGD",""
"120","INSRR","INSRR","control.LGD","control.LGD",""
"121","FCRL3","FCRL3","control.LGD","control.LGD",""
"122","LMX1A","LMX1A","control.LGD","control.LGD",""
"123","SELP","SELP","control.LGD","control.LGD",""
"124","NSL1","NSL1","control.LGD","control.LGD",""
"125","C1orf100","C1orf100","control.LGD","control.LGD",""
"126","FAM49A","FAM49A","control.LGD","control.LGD",""
"127","OTOF","OTOF","control.LGD","control.LGD",""
"128","RMDN2","RMDN2","control.LGD","control.LGD",""
"129","DHX57","DHX57","control.LGD","control.LGD",""
"130","TTC7A","TTC7A","control.LGD","control.LGD",""
"131","DYSF","DYSF","control.LGD","control.LGD",""
"132","DQX1","DQX1","control.LGD","control.LGD",""
"133","GLI2","GLI2","control.LGD","control.LGD",""
"134","MYO7B","MYO7B","control.LGD","control.LGD",""
"135","DPP4","DPP4","control.LGD","control.LGD",""
"136","TTN","TTN","control.LGD","control.LGD",""
"137","FSIP2","FSIP2","control.LGD","control.LGD",""
"138","FN1","FN1","control.LGD","control.LGD",""
"139","DOCK10","DOCK10","control.LGD","control.LGD",""
"140","ITM2C","ITM2C","control.LGD","control.LGD",""
"141","MUSTN1","MUSTN1","control.LGD","control.LGD",""
"142","FLNB","FLNB","control.LGD","control.LGD",""
"143","TPRA1","TPRA1","control.LGD","control.LGD",""
"144","H1FOO","H1FOO","control.LGD","control.LGD",""
"145","ACPP","ACPP","control.LGD","control.LGD",""
"146","PCOLCE2","PCOLCE2","control.LGD","control.LGD",""
"147","IGSF10","IGSF10","control.LGD","control.LGD",""
"148","RSRC1","RSRC1","control.LGD","control.LGD",""
"149","LRRC31","LRRC31","control.LGD","control.LGD",""
"150","NRROS","NRROS","control.LGD","control.LGD",""
"151","JAKMIP1","JAKMIP1","control.LGD","control.LGD",""
"152","DHX15","DHX15","control.LGD","control.LGD",""
"153","PDS5A","PDS5A","control.LGD","control.LGD",""
"154","FRYL","FRYL","control.LGD","control.LGD",""
"155","POLR2B","POLR2B","control.LGD","control.LGD",""
"156","SCOC","SCOC","control.LGD","control.LGD",""
"157","OTUD4","OTUD4","control.LGD","control.LGD",""
"158","RAPGEF2","RAPGEF2","control.LGD","control.LGD",""
"159","SDHA","SDHA","control.LGD","control.LGD",""
"160","ZDHHC11","ZDHHC11","control.LGD","control.LGD",""
"161","ANKRD55","ANKRD55","control.LGD","control.LGD",""
"162","IQGAP2","IQGAP2","control.LGD","control.LGD",""
"163","CCNH","CCNH","control.LGD","control.LGD",""
"164","CSNK1G3","CSNK1G3","control.LGD","control.LGD",""
"165","SMAD5","SMAD5","control.LGD","control.LGD",""
"166","PCDHGA11","PCDHGA11","control.LGD","control.LGD",""
"167","ARHGAP26","ARHGAP26","control.LGD","control.LGD",""
"168","DOCK2","DOCK2","control.LGD","control.LGD",""
"169","MXD3","MXD3","control.LGD","control.LGD",""
"170","HNRNPAB","HNRNPAB","control.LGD","control.LGD",""
"171","ZNF354A","ZNF354A","control.LGD","control.LGD",""
"172","ADAMTS2","ADAMTS2","control.LGD","control.LGD",""
"173","WRNIP1","WRNIP1","control.LGD","control.LGD",""
"174","NHLRC1","NHLRC1","control.LGD","control.LGD",""
"175","TCTE1","TCTE1","control.LGD","control.LGD",""
"176","SNAP91","SNAP91","control.LGD","control.LGD",""
"177","ASCC3","ASCC3","control.LGD","control.LGD",""
"178","CLVS2","CLVS2","control.LGD","control.LGD",""
"179","SYTL3","SYTL3","control.LGD","control.LGD",""
"180","PHF10","PHF10","control.LGD","control.LGD",""
"181","SCIN","SCIN","control.LGD","control.LGD",""
"182","INHBA","INHBA","control.LGD","control.LGD",""
"183","CDK14","CDK14","control.LGD","control.LGD",""
"184","STAG3","STAG3","control.LGD","control.LGD",""
"185","DOCK4","DOCK4","control.LGD","control.LGD",""
"186","ASIC3","ASIC3","control.LGD","control.LGD",""
"187","WDR60","WDR60","control.LGD","control.LGD",""
"188","CLDN23","CLDN23","control.LGD","control.LGD",""
"189","NAT1","NAT1","control.LGD","control.LGD",""
"190","SORBS3","SORBS3","control.LGD","control.LGD",""
"191","EPHX2","EPHX2","control.LGD","control.LGD",""
"192","ADAM18","ADAM18","control.LGD","control.LGD",""
"193","PXDNL","PXDNL","control.LGD","control.LGD",""
"194","RB1CC1","RB1CC1","control.LGD","control.LGD",""
"195","SPAG1","SPAG1","control.LGD","control.LGD",""
"196","COL22A1","COL22A1","control.LGD","control.LGD",""
"197","LYPD2","LYPD2","control.LGD","control.LGD",""
"198","GSDMD","GSDMD","control.LGD","control.LGD",""
"199","KANK1","KANK1","control.LGD","control.LGD",""
"200","TYRP1","TYRP1","control.LGD","control.LGD",""
"201","PRSS3","PRSS3","control.LGD","control.LGD",""
"202","GBA2","GBA2","control.LGD","control.LGD",""
"203","TMC1","TMC1","control.LGD","control.LGD",""
"204","SHC3","SHC3","control.LGD","control.LGD",""
"205","IARS","IARS","control.LGD","control.LGD",""
"206","OGN","OGN","control.LGD","control.LGD",""
"207","PTCH1","PTCH1","control.LGD","control.LGD",""
"208","RNF20","RNF20","control.LGD","control.LGD",""
"209","ACTL7B","ACTL7B","control.LGD","control.LGD",""
"210","ACTL7A","ACTL7A","control.LGD","control.LGD",""
"211","PTPN3","PTPN3","control.LGD","control.LGD",""
"212","C5","C5","control.LGD","control.LGD",""
"213","AK1","AK1","control.LGD","control.LGD",""
"214","CAMSAP1","CAMSAP1","control.LGD","control.LGD",""
"215","ARHGAP21","ARHGAP21","control.LGD","control.LGD",""
"216","NCOA4","NCOA4","control.LGD","control.LGD",""
"217","JMJD1C","JMJD1C","control.LGD","control.LGD",""
"218","DDX50","DDX50","control.LGD","control.LGD",""
"219","CCSER2","CCSER2","control.LGD","control.LGD",""
"220","PPP1R3C","PPP1R3C","control.LGD","control.LGD",""
"221","SLIT1","SLIT1","control.LGD","control.LGD",""
"222","ELOVL3","ELOVL3","control.LGD","control.LGD",""
"223","CTBP2","CTBP2","control.LGD","control.LGD",""
"224","DOCK1","DOCK1","control.LGD","control.LGD",""
"225","MICAL2","MICAL2","control.LGD","control.LGD",""
"226","USH1C","USH1C","control.LGD","control.LGD",""
"227","MAPK8IP1","MAPK8IP1","control.LGD","control.LGD",""
"228","ARFGAP2","ARFGAP2","control.LGD","control.LGD",""
"229","ZP1","ZP1","control.LGD","control.LGD",""
"230","SCYL1","SCYL1","control.LGD","control.LGD",""
"231","YIF1A","YIF1A","control.LGD","control.LGD",""
"232","C11orf80","C11orf80","control.LGD","control.LGD",""
"233","LRTOMT","LRTOMT","control.LGD","control.LGD",""
"234","MRPL48","MRPL48","control.LGD","control.LGD",""
"235","DLG2","DLG2","control.LGD","control.LGD",""
"236","USP28","USP28","control.LGD","control.LGD",""
"237","RAD52","RAD52","control.LGD","control.LGD",""
"238","PLCZ1","PLCZ1","control.LGD","control.LGD",""
"239","ANO6","ANO6","control.LGD","control.LGD",""
"240","HDAC7","HDAC7","control.LGD","control.LGD",""
"241","CSRNP2","CSRNP2","control.LGD","control.LGD",""
"242","KRT85","KRT85","control.LGD","control.LGD",""
"243","SLC39A5","SLC39A5","control.LGD","control.LGD",""
"244","SHMT2","SHMT2","control.LGD","control.LGD",""
"245","TMTC2","TMTC2","control.LGD","control.LGD",""
"246","FAM71C","FAM71C","control.LGD","control.LGD",""
"247","SART3","SART3","control.LGD","control.LGD",""
"248","CIT","CIT","control.LGD","control.LGD",""
"249","POP5","POP5","control.LGD","control.LGD",""
"250","ATP6V1D","ATP6V1D","control.LGD","control.LGD",""
"251","ACOT2","ACOT2","control.LGD","control.LGD",""
"252","TTLL5","TTLL5","control.LGD","control.LGD",""
"253","VIPAS39","VIPAS39","control.LGD","control.LGD",""
"254","SPRED1","SPRED1","control.LGD","control.LGD",""
"255","EIF2AK4","EIF2AK4","control.LGD","control.LGD",""
"256","IGDCC4","IGDCC4","control.LGD","control.LGD",""
"257","CSPG4","CSPG4","control.LGD","control.LGD",""
"258","ZNF774","ZNF774","control.LGD","control.LGD",""
"259","PCSK6","PCSK6","control.LGD","control.LGD",""
"260","NPRL3","NPRL3","control.LGD","control.LGD",""
"261","TELO2","TELO2","control.LGD","control.LGD",""
"262","BRICD5","BRICD5","control.LGD","control.LGD",""
"263","DEXI","DEXI","control.LGD","control.LGD",""
"264","ERI2","ERI2","control.LGD","control.LGD",""
