,week_10:hPeric,week_10:hRgl2a,week_11:hRgl2a,week_10:Unk,week_11:hPeric,week_9:Unk,week_6:hProgFPM,week_8:Unk,week_11:hRgl2b,week_9:hGaba,week_6:hProgBP,week_8:hNbM,week_8:hNProg,week_11:hEndo,week_11:Unk,week_6:hProgM,week_6:hProgFPL,week_6:Unk,week_8:hProgBP,week_8:hNbML1,week_9:hNbML5,week_8:hOMTN,week_6:hNProg,week_6:hOMTN,week_11:hRgl3,week_10:hEndo,week_8:hProgFPM,week_8:hRN,week_9:hOMTN,week_10:hDA2,week_10:hRgl3,week_11:hOPC,week_11:hRgl2c,week_10:hNbM,week_10:hDA1,week_9:hProgBP,week_8:hProgM,week_10:hRgl2b,week_7:hRgl2a,week_7:hOMTN,week_7:Unk,week_10:hRgl1,week_7:hProgBP,week_10:hDA0,week_9:hNbGaba,week_9:hDA0,week_9:hDA1,week_9:hNProg,week_8:hProgFPL,week_9:hRgl2a,week_9:hDA2,week_6:hNbML1,week_9:hNbM,week_9:hNbML1,week_6:hNbM,week_10:hGaba
INCENP,3,4,4,4,3,2,4,3,3,3,3,0,0,0,1,4,8,0,3,0,0,2,1,2,1,0,2,0,0,0,0,2,3,0,0,1,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
ASRGL1,14,19,16,22,3,3,14,10,9,7,14,9,6,3,4,6,15,4,12,8,5,4,3,7,2,2,6,4,6,2,3,5,6,4,7,6,7,1,1,4,2,7,1,3,2,1,6,2,3,2,1,2,3,3,1,2
SCGB1A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHNAK,11,21,22,2,2,2,0,2,6,0,0,0,0,14,2,0,0,0,0,0,2,0,0,1,12,11,1,0,1,0,5,1,3,1,0,1,1,2,1,0,0,5,0,0,1,1,0,1,0,1,0,0,1,1,0,0
EEF1G,99,95,77,60,62,32,53,47,45,25,43,37,42,41,29,37,34,33,29,27,19,29,26,26,23,23,20,19,16,18,18,19,19,19,17,14,17,16,15,15,16,13,12,14,8,9,8,11,12,9,7,12,8,8,10,9
MIR3654,26,31,38,7,16,4,17,15,16,5,22,24,13,8,6,20,18,5,19,16,6,14,8,12,12,7,10,9,5,4,3,6,5,7,5,5,11,6,7,6,1,5,2,1,1,1,1,0,10,1,1,3,4,5,3,4
TUT1,2,8,3,1,1,1,4,1,0,1,3,1,2,5,1,2,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1,1,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,1,1,1,0,1,1,0,0
MTA2,6,16,9,7,8,6,5,3,4,6,9,4,1,5,3,6,5,1,6,3,7,2,3,3,1,2,5,1,0,2,0,4,1,5,3,1,4,1,1,1,0,5,1,2,1,1,3,2,1,2,1,2,2,1,1,0
EML3,5,1,0,1,6,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROM1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
B3GAT3,10,7,13,4,9,1,5,3,5,1,2,2,1,4,3,2,5,1,6,3,2,0,1,0,2,2,4,1,3,3,1,0,1,2,2,1,3,0,0,1,1,1,2,1,2,0,0,2,0,0,0,1,1,2,2,0
GANAB,25,30,19,9,18,6,12,5,10,8,12,3,4,13,3,13,13,9,3,6,3,7,5,9,9,9,4,1,6,2,4,8,5,2,2,5,6,0,4,2,1,2,4,0,3,4,3,1,3,3,1,2,2,3,1,0
INTS5,1,10,3,3,5,2,2,1,2,0,3,0,3,2,1,0,0,0,0,1,1,2,0,1,1,0,1,1,2,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0
LBHD1,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
C11orf98,38,28,27,13,30,7,18,22,9,3,24,19,15,14,10,15,20,11,9,9,8,14,7,13,8,13,9,7,6,6,8,8,7,7,4,5,4,4,4,6,3,3,4,3,5,1,4,2,7,3,0,6,2,4,3,2
METTL12,56,33,26,19,31,2,27,13,16,2,23,9,6,16,5,17,22,9,14,6,3,8,11,13,15,14,8,0,8,2,12,9,12,3,5,3,6,4,5,6,3,4,1,4,3,0,3,3,8,1,1,4,1,3,2,3
SNORA57,4,1,1,1,2,1,0,0,0,0,1,0,2,0,0,1,1,1,0,2,0,1,1,1,1,1,0,0,0,2,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UQCC3,17,11,7,6,14,5,10,8,7,3,6,2,5,5,4,7,10,2,2,3,1,5,0,4,4,6,3,2,2,5,3,4,6,1,1,2,4,1,1,1,4,2,4,1,0,0,0,3,3,1,0,2,0,0,0,1
UBXN1,49,50,36,20,22,6,28,22,16,4,25,27,22,19,8,20,20,9,19,17,5,19,16,18,9,11,13,11,7,11,7,9,6,11,9,6,5,7,5,5,2,12,3,5,4,4,4,3,10,6,1,4,3,4,4,3
LRRN4CL,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
HNRNPUL2-BSCL2,3,7,2,1,4,5,3,2,4,3,2,1,2,2,1,3,3,0,2,1,2,2,1,1,2,1,0,4,0,1,0,1,2,2,1,1,0,1,1,2,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
BSCL2,31,40,34,29,25,13,27,15,14,19,22,21,12,12,15,19,18,13,15,12,14,20,9,22,17,8,8,12,14,14,8,9,12,12,11,5,6,6,5,11,7,6,5,7,6,2,6,4,5,6,2,9,1,4,7,7
GNG3,20,26,1,47,6,23,11,12,2,19,12,22,13,1,14,10,8,3,2,19,20,19,6,24,4,5,6,20,13,16,5,3,6,12,17,2,6,6,0,10,4,1,1,10,3,8,5,4,7,1,7,9,4,8,6,3
HNRNPUL2,48,35,32,13,20,10,25,11,18,7,18,10,13,15,9,16,21,12,11,6,6,8,7,16,10,9,6,4,5,7,7,12,9,8,6,6,7,2,9,3,4,2,4,6,5,2,5,4,6,3,4,4,3,5,2,3
TTC9C,19,13,6,7,12,1,6,7,6,1,11,3,3,6,4,3,7,2,4,1,1,7,3,5,0,4,3,2,2,2,5,2,4,2,3,2,1,1,2,1,0,0,2,2,1,0,1,1,0,1,0,1,0,0,1,1
ZBTB3,2,3,3,3,0,1,1,1,5,1,2,1,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
POLR2G,72,73,42,29,44,14,40,26,18,13,37,29,26,25,10,30,28,16,20,16,7,20,18,19,17,16,15,9,12,10,16,13,13,7,5,10,11,11,11,7,5,10,6,4,4,1,1,5,9,7,7,6,2,6,5,4
TAF6L,1,2,5,1,1,0,0,1,3,2,0,1,1,4,2,3,2,2,3,0,0,0,0,3,3,1,0,0,2,0,0,0,1,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM179B,23,27,25,5,18,4,15,3,7,0,8,7,4,15,2,13,4,4,3,2,0,2,2,5,10,9,0,3,1,0,4,5,4,4,2,1,2,4,0,2,0,3,0,1,0,1,1,1,1,0,0,1,1,0,3,0
TMEM223,13,13,17,4,10,1,3,2,5,1,4,4,5,10,1,3,3,2,2,3,1,4,2,5,5,0,1,1,1,3,3,3,2,4,0,2,4,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1
NXF1,56,22,25,7,23,12,18,6,11,9,15,8,8,16,6,14,9,8,5,5,4,9,8,7,8,12,8,2,6,0,2,4,6,6,5,4,3,1,4,2,2,4,2,4,4,3,5,2,2,4,1,6,1,1,3,2
STX5,11,13,15,1,8,2,4,2,3,3,4,2,3,1,1,8,5,2,4,5,2,5,0,2,4,3,1,1,0,1,2,3,3,1,3,1,1,2,0,1,1,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0
WDR74,11,6,5,5,8,4,3,3,2,7,4,3,6,4,1,3,2,1,1,4,0,4,2,1,1,1,3,3,1,2,3,1,0,2,2,1,3,1,2,0,0,1,0,0,3,1,1,1,2,2,0,0,1,0,0,0
SNHG1,32,36,21,17,23,21,30,20,14,10,23,24,22,13,6,20,24,10,18,16,14,15,12,18,8,8,8,9,11,5,1,5,7,12,9,7,13,11,7,5,1,7,2,5,5,3,6,5,7,4,4,4,7,5,3,4
SNORD22,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SNORD31,0,1,0,1,1,0,0,0,3,0,1,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
SNORD30,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SNORD29,0,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,1,1,0,1,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SNORD28,3,1,0,1,1,1,2,1,0,0,1,1,0,0,0,2,1,1,0,0,0,1,1,1,1,0,1,0,0,2,0,0,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
SNORD27,0,0,1,0,0,0,5,0,1,1,1,0,0,1,0,2,2,1,2,0,0,3,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD26,5,2,1,3,2,3,4,1,1,0,3,1,2,0,2,1,3,1,2,0,0,1,3,2,2,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0
SNORD25,0,0,3,4,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
SLC3A2,50,68,53,19,39,9,23,13,22,4,23,8,11,41,10,25,22,9,7,7,4,14,6,14,14,23,12,5,4,5,10,10,10,5,9,8,10,11,7,3,0,8,1,4,1,4,3,2,4,3,0,3,0,4,3,2
CHRM1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SLC22A6,3,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A9,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HRASLS5,0,1,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RARRES3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G16,3,6,8,1,7,0,0,0,3,1,0,0,0,20,1,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,2,2,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ATL3,24,14,11,3,13,2,4,0,2,3,1,0,0,8,1,0,0,0,1,1,2,0,0,0,5,9,1,0,0,3,1,2,4,0,2,1,0,2,3,0,0,3,0,1,0,1,1,0,2,2,1,0,0,0,0,1
RTN3,43,85,76,45,34,38,25,25,42,35,27,29,14,20,24,18,23,11,21,20,21,24,15,21,22,10,15,16,17,15,18,20,17,15,15,16,13,11,13,11,6,10,10,11,12,12,11,4,10,12,10,9,8,8,4,10
C11orf95,25,28,11,8,26,11,8,11,10,11,10,25,14,7,5,8,10,1,10,12,10,9,10,12,5,5,4,7,6,6,3,1,3,10,8,2,2,3,2,3,3,4,1,6,3,3,5,4,3,1,2,6,4,5,3,5
C11orf84,28,25,19,2,24,14,11,10,4,10,17,11,4,8,7,11,10,7,8,7,5,7,7,13,6,8,5,4,7,1,3,8,3,4,4,9,9,4,5,3,2,3,2,3,3,5,4,3,5,5,3,4,2,3,3,2
MARK2,3,11,7,6,9,4,3,1,1,0,5,3,2,5,7,4,3,1,2,3,0,0,3,3,3,2,0,4,1,4,1,2,1,3,4,2,1,3,0,2,0,3,0,1,1,2,0,1,1,0,0,1,1,0,0,0
RCOR2,6,13,0,6,4,8,19,6,5,14,18,16,17,1,2,13,17,7,4,5,9,10,11,12,1,1,7,4,6,1,5,4,0,6,6,5,3,2,1,1,4,1,2,3,2,3,5,7,4,1,4,3,1,3,4,3
NAA40,11,12,17,12,6,7,8,3,5,8,10,5,3,9,6,8,9,0,5,2,7,3,3,6,6,4,1,1,12,6,2,4,3,3,3,2,3,4,0,1,2,2,1,5,4,1,4,0,3,3,2,4,3,1,1,3
COX8A,106,82,54,53,62,30,51,43,34,12,37,31,36,30,20,31,33,27,27,26,10,28,17,24,16,21,21,13,15,19,18,19,18,14,13,14,15,13,11,9,8,13,9,11,8,6,6,6,10,9,7,11,3,7,8,5
OTUB1,32,38,30,19,16,12,34,22,7,7,22,12,19,11,7,21,21,12,15,13,9,17,13,19,10,9,7,6,9,4,10,5,5,6,5,3,5,7,6,5,4,7,2,6,3,3,3,4,6,4,1,7,1,4,3,4
MACROD1,2,3,2,2,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,2,0,0,1,2,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
FLRT1,2,2,3,1,0,3,2,0,0,4,0,0,0,1,1,1,0,0,0,1,2,1,0,2,2,1,0,1,2,0,1,2,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
STIP1,39,47,40,31,30,11,32,13,20,5,25,16,18,16,10,20,19,14,19,11,7,16,11,20,10,8,13,5,7,9,8,12,13,12,9,9,10,4,8,3,4,10,10,8,4,0,0,4,10,1,0,6,0,1,5,4
FERMT3,2,2,1,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TRPT1,7,11,4,5,10,1,5,8,3,2,7,4,3,6,1,3,6,0,3,3,0,2,2,5,5,6,4,3,3,0,2,1,5,1,0,0,3,1,1,0,2,4,0,0,0,0,1,0,3,1,0,2,1,0,0,0
NUDT22,0,2,8,2,5,1,2,1,0,0,1,3,2,2,0,1,3,0,0,2,0,1,0,1,0,0,0,0,0,2,0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DNAJC4,8,5,2,5,4,2,2,0,2,1,0,0,2,6,0,0,0,1,0,1,2,1,1,0,1,3,1,2,1,0,1,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
VEGFB,19,28,23,8,12,1,2,2,6,7,4,3,3,7,6,4,6,1,4,5,2,4,0,4,8,0,2,2,4,2,1,6,5,1,2,4,2,1,3,3,0,3,2,0,3,1,0,2,3,2,1,0,0,1,0,0
FKBP2,48,34,34,21,39,7,17,16,16,6,14,9,10,18,10,15,14,7,11,7,6,12,9,11,16,11,7,3,6,9,10,12,10,6,6,1,6,6,7,5,4,8,4,6,2,4,1,2,11,0,1,4,0,2,3,5
PPP1R14B,27,23,23,21,25,8,13,5,10,10,6,13,4,11,8,6,8,1,4,7,4,9,5,6,8,5,4,8,5,10,7,6,6,8,8,7,1,6,1,5,4,4,1,8,4,4,4,1,2,1,2,1,3,4,1,6
PLCB3,5,2,4,2,2,1,0,1,1,1,0,0,3,4,3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAD,8,14,17,6,11,1,7,1,3,1,3,1,1,4,3,2,6,1,4,4,1,5,2,4,3,3,0,3,1,3,3,3,2,1,1,1,2,0,0,1,0,3,0,1,0,0,1,0,1,0,0,2,0,0,1,0
GPR137,7,11,15,4,6,0,4,0,3,7,2,2,2,1,5,1,4,1,3,5,2,1,2,5,6,1,0,0,4,0,6,2,2,1,2,0,1,1,1,1,0,1,0,1,2,0,1,0,1,1,0,0,2,1,1,1
TEX40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ESRRA,4,1,1,0,4,2,0,0,1,1,2,1,1,9,0,1,1,0,0,1,2,3,0,1,0,3,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0
TRMT112,85,74,50,37,50,16,48,39,31,8,42,27,30,35,16,31,32,26,25,18,12,24,19,25,19,19,20,13,11,15,14,13,13,10,12,12,16,11,11,10,9,12,14,5,4,6,5,6,13,6,2,10,4,5,10,7
PRDX5,52,61,43,34,31,16,33,24,18,11,22,23,21,21,12,21,23,12,18,13,10,27,13,21,14,15,13,11,10,12,14,12,11,15,12,8,9,9,8,14,7,11,3,8,5,3,4,3,10,5,5,8,1,5,4,4
CCDC88B,0,3,2,3,0,3,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
RPS6KA4,3,2,1,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
LOC100996455,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRXN2,15,24,18,34,8,19,1,6,15,20,2,4,0,4,11,1,1,2,3,7,12,14,1,8,3,1,4,1,10,10,7,9,4,7,10,3,2,6,0,6,1,4,1,7,11,6,6,2,2,1,2,1,3,4,0,6
RASGRP2,28,3,2,2,14,1,0,0,0,1,1,1,1,6,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PYGM,1,0,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SF1,47,47,44,19,29,17,32,23,23,22,34,19,16,26,10,24,29,10,19,18,19,18,12,16,15,12,18,9,16,4,7,12,10,6,10,9,13,11,8,3,6,7,4,9,7,8,5,3,11,4,3,6,6,4,5,6
MAP4K2,4,2,2,4,10,0,0,1,1,1,0,0,0,22,1,0,0,1,0,0,0,0,1,0,1,7,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEN1,13,8,9,7,11,7,3,3,3,4,6,1,3,6,4,9,9,3,2,5,3,2,3,4,4,3,1,1,3,1,4,0,5,2,2,2,2,2,1,0,1,1,2,2,0,0,2,0,1,0,0,0,2,1,0,1
CDC42BPG,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EHD1,19,17,16,11,15,5,5,7,4,7,5,3,6,9,3,4,4,0,2,7,7,7,2,6,6,3,2,2,3,3,7,4,1,3,2,1,0,3,3,4,2,2,1,4,4,1,4,1,1,2,1,2,2,4,0,2
MIR194-2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG2A,10,7,8,3,6,3,2,2,5,3,2,0,0,3,2,3,0,0,1,2,1,3,0,0,3,1,0,1,1,0,3,0,1,1,2,0,1,3,0,2,0,1,1,0,0,2,0,1,2,0,0,2,1,1,0,0
PPP2R5B,14,9,2,11,6,4,0,0,1,0,1,4,2,4,3,1,3,0,3,3,1,6,1,2,2,2,1,0,2,3,2,1,1,1,4,0,0,1,0,2,1,0,1,1,1,0,2,0,1,0,0,2,0,2,1,2
ARL2-SNX15,28,30,18,14,18,2,17,3,9,1,13,8,10,13,9,12,13,6,7,7,1,13,3,13,9,9,5,6,2,4,5,5,7,3,3,4,5,3,4,5,4,4,5,5,0,2,0,0,2,4,3,4,0,1,2,3
ARL2,7,18,19,10,6,1,2,2,10,2,5,4,4,8,3,3,8,1,6,2,0,4,1,5,5,2,1,0,1,1,1,5,4,3,4,0,0,1,2,3,2,4,0,1,0,0,2,0,2,0,0,2,0,3,1,1
SNX15,3,5,10,2,3,2,0,1,0,4,5,2,0,3,2,2,4,0,1,3,2,2,1,0,3,0,0,1,1,2,1,2,1,0,2,0,0,1,2,0,1,1,1,2,0,1,0,0,0,0,0,1,1,0,0,2
SAC3D1,4,3,6,0,3,1,3,3,5,4,4,3,0,2,1,3,8,1,3,2,0,1,0,2,2,1,0,0,2,3,2,0,2,1,2,0,4,2,0,0,0,0,1,2,2,0,2,0,0,0,1,1,0,1,0,0
NAALADL1,4,1,1,0,3,1,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDCA5,3,10,9,3,5,0,16,7,4,0,12,2,3,1,4,10,12,4,7,2,1,2,1,2,0,0,1,0,0,0,0,4,7,0,0,9,4,1,4,0,1,0,5,0,1,1,0,2,4,1,0,0,0,1,0,0
ZFPL1,3,10,6,5,8,1,7,0,5,1,5,3,2,7,1,1,1,0,2,2,0,3,0,3,3,2,1,3,0,3,1,1,1,3,0,1,0,2,0,2,0,0,2,1,1,0,1,0,1,1,0,1,1,1,1,0
VPS51,22,18,16,8,17,3,6,5,7,5,6,13,8,14,4,11,10,1,5,9,5,6,5,5,7,2,2,0,7,4,4,4,4,4,5,5,4,3,0,3,2,2,2,2,1,1,2,3,4,1,0,2,3,3,1,0
TM7SF2,6,29,32,10,5,2,6,5,9,8,8,9,1,5,4,8,5,2,1,10,6,14,1,10,10,3,2,7,3,3,8,4,3,4,2,0,3,4,1,3,2,1,1,4,1,0,5,1,3,3,1,4,2,0,1,3
ZNHIT2,1,5,3,2,0,2,0,0,2,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,4,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0
FAU,111,99,76,62,69,33,57,51,44,18,46,43,42,42,30,37,33,29,31,30,20,29,26,26,23,24,23,19,18,20,18,20,18,18,16,17,18,17,16,16,15,16,14,15,8,8,9,8,13,10,9,12,5,8,10,9
MRPL49,12,23,11,6,11,2,6,5,6,5,12,3,3,9,2,8,10,4,3,6,0,4,1,4,5,3,6,1,2,4,9,1,2,6,8,1,3,0,1,3,2,1,2,2,0,1,0,0,5,1,0,0,0,1,2,0
SYVN1,7,9,10,6,7,3,3,2,1,6,5,2,2,0,4,3,3,0,3,2,0,1,1,2,1,1,2,1,3,1,2,1,2,1,2,1,0,1,0,1,0,1,1,1,1,0,1,3,1,1,0,0,1,2,0,0
CAPN1,15,11,8,12,15,8,2,2,5,2,4,0,1,5,1,1,1,3,0,3,3,5,0,6,7,3,2,1,6,3,1,2,2,1,4,0,0,1,1,3,2,1,0,0,3,4,1,3,0,1,1,0,1,2,1,1
POLA2,0,2,4,1,1,0,1,2,0,1,3,1,2,1,0,3,5,0,1,0,0,2,2,0,0,0,3,1,1,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CDC42EP2,8,1,0,1,3,1,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,1,1,1,1,2,0,0,1,0,0,1,0,0,0,0,2,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
DPF2,24,37,32,12,18,9,12,7,11,5,7,8,9,14,3,17,14,5,6,7,6,15,8,9,6,6,8,6,5,6,4,5,8,3,3,6,6,4,2,1,0,2,1,3,4,3,5,3,2,3,3,6,2,1,2,2
TIGD3,0,3,1,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,3,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,1,0,1,0,0,1,1,1,0,0
SLC25A45,3,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRMD8,28,10,7,10,16,0,1,1,3,2,2,1,3,15,2,2,2,2,3,2,0,2,1,0,0,6,2,0,1,1,0,2,4,2,1,0,2,0,1,1,1,0,0,1,0,2,3,0,0,1,0,1,0,2,0,3
NEAT1,9,16,11,1,4,7,3,3,5,3,3,1,1,7,1,4,1,1,3,1,1,4,0,2,6,5,3,1,4,1,6,0,2,1,2,2,1,2,1,2,1,3,1,1,2,1,1,0,0,1,3,1,0,0,0,0
MALAT1,115,100,80,74,71,65,57,54,48,46,46,43,43,43,39,37,34,33,32,30,29,29,27,26,25,24,23,22,21,21,21,21,20,19,18,18,18,18,17,17,17,17,16,16,16,15,13,13,13,13,12,12,12,10,10,10
SCYL1,7,6,5,2,3,1,0,2,2,2,1,1,1,4,4,1,4,0,2,2,1,6,1,5,1,1,0,0,3,3,0,1,1,1,1,2,0,1,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1
LTBP3,4,24,26,4,12,1,1,1,11,0,1,1,1,11,2,1,0,1,0,0,0,0,2,0,5,2,1,0,0,0,2,3,1,2,0,1,1,1,1,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,1
