,GW16:Neurons,GW26:GABAergic neurons,GW23:GABAergic neurons,GW16:Stem cells,GW26:Neurons,GW10:Neurons,GW23:Neurons,GW10:Stem cells,GW16:GABAergic neurons,GW19:Neurons,GW26:OPC,GW26:Astrocytes,GW12:Neurons,GW09:Stem cells,GW26:Microglia,GW09:Neurons,GW23:OPC,GW19:GABAergic neurons,GW13:Neurons,GW08:Neurons,GW16:OPC,GW12:Stem cells,GW16:Microglia,GW23:Microglia
EIF2B5-AS1,34,24,10,7,5,5,1,8,5,1,5,4,1,2,1,0,1,1,0,0,1,0,0,1
EIF2D,74,36,13,28,10,9,6,12,8,5,11,13,2,1,5,2,3,0,3,1,2,3,1,1
EIF2S1,377,209,76,95,53,57,47,54,44,49,42,38,36,35,23,24,13,10,13,11,9,9,6,3
EIF2S2,463,283,109,111,77,84,60,72,62,69,58,57,57,43,31,31,16,13,15,12,11,12,9,8
EIF2S3,435,279,104,112,71,59,58,59,64,57,54,50,49,38,36,24,19,9,12,12,14,8,10,7
EIF3A,385,235,101,95,66,69,49,69,51,49,46,49,38,35,27,30,18,12,12,9,10,9,10,9
EIF3B,225,163,47,54,36,30,18,45,25,12,28,34,12,19,21,12,5,5,5,2,6,0,4,3
EIF3C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF3CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF3D,415,250,83,106,67,73,56,62,55,47,43,49,46,34,33,27,17,13,13,12,11,9,7,6
EIF3E,501,275,84,118,77,78,57,73,65,56,57,54,54,41,30,31,21,10,16,13,12,10,10,8
EIF3F,493,272,99,117,79,71,51,72,59,55,51,50,46,44,33,25,23,15,12,8,12,11,11,5
EIF3G,322,163,65,93,42,49,39,62,35,31,35,40,27,32,28,20,14,13,7,10,7,8,6,4
EIF3H,524,299,124,119,84,82,67,72,74,72,63,53,52,44,37,28,19,16,13,13,13,10,10,8
EIF3I,513,281,131,117,80,80,76,75,74,72,58,51,55,46,30,32,16,16,15,14,14,10,10,8
EIF3IP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF3J,424,252,100,105,72,66,55,65,60,57,47,51,47,32,24,24,19,10,12,9,12,9,11,6
EIF3J-AS1,138,120,49,44,31,16,21,19,14,13,26,28,5,7,17,4,10,3,4,2,4,2,2,2
EIF3K,523,326,132,114,93,89,71,76,75,68,65,56,59,46,37,34,21,12,16,13,13,12,11,6
EIF3L,542,375,153,122,106,89,77,82,78,78,67,63,61,49,38,35,22,21,14,14,14,12,10,9
EIF3M,290,103,55,81,38,58,34,62,27,40,43,29,27,41,13,23,17,4,10,12,10,8,4,4
EIF4A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4A2,537,354,164,122,112,92,81,80,72,81,68,60,60,48,37,35,24,21,14,13,13,12,9,10
EIF4A3,429,234,89,112,68,65,57,67,61,59,59,55,46,44,28,29,24,16,15,11,13,11,9,7
EIF4B,477,292,109,111,79,77,58,73,60,55,62,46,43,34,36,27,18,13,10,11,14,10,10,5
EIF4E,449,270,106,114,81,69,60,70,60,59,55,51,53,41,32,33,22,15,12,11,11,10,10,6
EIF4E1B,3,2,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
EIF4E2,382,208,90,97,44,58,52,58,55,43,40,38,32,28,25,21,18,9,9,10,8,9,8,6
EIF4E3,134,95,15,29,6,32,9,32,11,10,12,16,14,8,11,12,2,0,1,4,3,4,2,0
EIF4EBP1,490,220,74,113,67,81,57,68,57,65,48,39,59,43,25,31,17,11,16,14,11,10,10,7
EIF4EBP2,434,262,72,106,63,61,35,66,56,48,49,47,28,37,30,25,11,11,11,10,14,8,8,3
EIF4EBP3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
EIF4ENIF1,204,127,32,48,26,21,9,29,15,12,16,25,3,3,15,4,7,2,0,8,1,1,5,2
EIF4G1,263,160,64,68,37,49,40,48,26,38,24,30,25,23,20,21,13,5,8,5,7,3,6,5
EIF4G2,544,397,173,122,115,93,90,83,83,81,68,62,61,49,40,35,25,21,15,15,14,12,11,10
EIF4G3,311,198,65,81,43,46,30,45,36,26,40,40,20,14,23,20,15,5,8,9,8,6,7,4
EIF4H,444,273,118,114,77,76,61,76,59,53,57,51,41,42,29,30,21,10,13,11,11,9,10,7
EIF5,517,341,160,119,101,87,87,80,72,81,61,60,55,45,37,35,21,21,15,11,13,12,11,9
EIF5A,513,280,142,121,83,85,81,75,68,66,60,56,59,48,31,34,23,14,16,14,13,12,10,9
EIF5A2,70,56,11,27,13,7,4,11,3,6,7,13,7,8,5,5,4,0,0,0,1,2,4,1
EIF5AL1,270,91,50,71,27,40,37,35,26,10,23,30,28,22,13,20,13,1,10,10,8,8,2,1
EIF5B,458,280,120,110,74,85,63,77,58,72,53,50,49,42,33,31,15,14,16,14,12,12,9,6
EIF6,487,281,110,114,80,76,55,72,61,68,62,56,59,43,28,32,21,17,16,13,11,12,9,7
ELAC1,133,49,17,35,13,12,6,11,18,11,14,13,5,8,9,5,4,0,4,1,4,3,4,0
ELAC2,253,116,35,67,25,27,15,38,22,26,21,38,22,20,16,11,4,4,6,8,6,5,6,4
ELANE,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ELAVL1,353,187,46,92,46,37,19,55,36,25,49,43,24,29,27,18,11,7,7,6,11,12,9,6
ELAVL2,374,217,73,90,53,50,26,47,46,46,26,33,5,16,19,19,7,7,5,7,8,5,7,4
ELAVL3,479,339,133,112,91,83,61,69,66,66,51,52,50,28,28,28,16,14,13,12,13,9,8,7
ELAVL4,499,308,138,108,80,92,76,74,61,70,41,43,58,38,25,35,12,17,15,14,11,12,10,6
ELDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELF1,25,43,15,17,7,3,7,9,3,1,14,16,5,3,20,0,6,1,1,0,1,1,7,8
ELF2,194,118,52,58,28,27,25,32,22,31,29,22,19,10,15,11,6,3,4,8,3,5,3,3
ELF3,5,5,4,1,0,1,3,0,3,2,0,1,1,1,1,1,1,0,3,1,0,0,0,0
ELF4,0,3,0,0,1,2,0,1,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,1
ELF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ELFN1,38,92,31,7,7,1,2,3,19,3,10,16,0,0,7,0,2,2,0,0,2,0,2,1
ELFN1-AS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELFN2,162,187,42,47,36,17,12,17,27,8,29,31,17,2,19,2,7,1,0,0,0,1,1,2
ELK1,125,89,29,19,16,16,22,20,14,10,13,8,5,2,8,6,8,1,4,3,6,1,2,2
ELK2AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ELK3,21,30,6,12,5,1,1,2,4,1,8,16,4,0,18,0,1,1,1,0,1,0,3,1
ELK4,126,94,31,34,10,23,10,28,12,5,10,22,6,9,8,8,3,4,3,1,2,1,6,1
ELL,60,46,15,15,6,16,11,11,8,7,5,12,6,3,9,5,2,0,4,2,2,0,1,1
ELL2,135,70,10,21,12,6,8,6,17,7,6,8,2,3,7,2,1,4,0,1,3,0,3,1
ELL3,20,18,2,6,5,7,5,4,4,1,7,3,1,1,5,2,0,0,0,0,0,2,0,0
ELMO1,365,240,95,78,55,15,46,16,49,49,38,37,7,3,24,3,17,7,5,4,9,3,7,6
ELMO1-AS1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELMO2,304,164,64,82,50,43,28,41,35,30,35,39,22,14,18,20,10,4,9,9,11,8,6,4
ELMO3,37,31,12,16,5,3,2,2,2,2,1,10,1,0,3,0,1,0,1,0,0,0,2,1
ELMOD1,412,232,63,88,51,34,41,32,48,51,39,44,39,4,29,7,10,7,3,1,10,6,8,6
ELMOD2,259,93,31,70,23,43,17,36,24,14,17,22,25,18,16,16,3,1,2,5,7,8,6,0
ELMOD3,120,76,33,30,16,13,14,21,16,10,15,11,5,6,8,4,6,2,1,5,6,2,2,1
ELMSAN1,211,146,48,56,33,28,26,27,33,22,33,34,16,25,24,12,7,4,3,6,3,2,6,5
ELN,22,46,17,8,8,5,7,12,4,1,20,35,0,4,3,1,2,1,0,0,1,1,0,0
ELOF1,423,251,100,109,72,71,58,70,54,55,46,48,41,35,33,26,19,16,10,8,13,7,10,6
ELOVL1,71,69,19,20,8,8,14,14,8,8,21,23,6,2,12,0,8,1,6,2,4,1,4,2
ELOVL2,96,114,45,40,19,9,11,25,17,12,23,46,2,9,10,4,7,1,2,5,2,2,1,1
ELOVL2-AS1,33,49,4,15,11,5,1,4,7,0,1,14,0,0,6,0,1,0,0,0,0,0,0,0
ELOVL3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL4,285,150,40,57,25,39,30,30,37,25,19,22,21,7,11,14,3,5,7,9,4,3,5,2
ELOVL5,281,160,41,82,46,39,27,32,31,35,42,52,25,21,24,14,10,6,11,7,8,5,7,3
ELOVL6,124,73,20,33,6,27,11,28,11,20,7,21,5,14,4,9,5,4,3,8,3,4,2,1
ELOVL7,6,18,2,1,1,1,1,3,0,1,2,3,1,0,0,0,1,0,3,0,0,0,1,0
ELP2,243,120,61,56,30,26,23,37,33,17,24,18,22,24,17,17,9,3,5,9,4,2,7,3
ELP3,253,143,53,64,22,29,24,39,32,30,22,29,18,14,14,8,7,6,4,5,7,3,5,6
ELP4,99,51,12,41,13,9,19,29,8,14,21,29,6,21,8,8,12,3,3,2,5,3,2,1
ELP5,194,92,48,59,27,40,28,39,26,25,26,24,13,23,12,12,15,7,8,5,7,4,3,2
ELP6,236,118,34,68,36,33,21,42,24,18,27,28,10,17,17,11,10,4,6,3,10,2,5,0
ELSPBP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMB,8,5,3,2,0,1,1,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,1
EMBP1,5,3,3,2,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
EMC1,195,128,51,58,34,33,12,33,24,21,27,28,14,12,16,7,9,2,3,4,4,4,7,4
EMC10,234,207,43,65,46,24,12,40,23,13,44,44,12,5,24,10,9,3,1,3,9,6,6,5
EMC2,142,107,23,41,23,18,12,35,18,15,27,40,19,14,13,7,9,6,2,4,7,2,5,0
EMC3,294,185,54,66,35,44,34,52,33,35,45,43,29,22,24,21,13,8,6,10,5,3,7,7
EMC3-AS1,164,99,46,57,15,36,17,54,19,25,22,14,19,29,15,13,10,4,2,2,6,5,7,4
EMC4,395,187,87,99,68,72,57,60,47,55,52,43,38,37,25,28,14,12,13,10,11,10,8,3
EMC6,9,3,2,3,3,9,5,2,0,0,3,0,2,4,0,1,1,0,3,2,0,0,0,0
EMC7,271,146,62,70,35,51,36,45,34,31,36,39,28,23,15,20,16,7,9,12,9,6,9,4
EMC8,264,138,27,70,34,33,13,39,22,22,32,39,17,21,20,16,8,7,3,7,5,7,9,3
EMC9,173,116,42,50,17,25,16,35,21,12,20,15,17,21,6,11,8,3,3,3,4,5,5,3
EMCN,30,30,9,9,5,2,6,7,2,3,3,2,0,2,2,1,1,0,0,0,0,0,2,2
EMD,152,99,25,52,22,33,13,38,19,13,27,18,12,10,10,6,2,1,5,3,0,5,3,1
EME1,8,4,1,12,0,0,0,5,1,1,6,0,0,6,0,1,3,0,0,0,1,1,0,1
EME2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EMG1,270,138,27,83,30,36,20,38,34,16,29,26,26,20,18,8,3,5,6,7,7,9,6,2
EMID1,166,185,46,46,30,5,16,16,22,18,26,38,3,3,22,1,4,1,1,0,6,1,7,4
EMILIN1,2,12,4,0,2,1,0,0,1,1,2,3,5,0,4,0,1,0,0,0,0,0,0,1
EMILIN2,3,5,1,1,1,0,0,3,0,5,3,0,0,1,2,6,0,0,0,0,0,0,2,0
EMILIN3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
EML1,320,174,20,68,41,43,28,43,39,32,28,33,38,16,24,13,8,4,10,5,5,6,5,1
EML2,30,34,12,6,6,6,2,5,5,2,4,7,2,0,3,2,1,0,0,0,1,1,0,2
EML2-AS1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EML3,51,42,9,19,12,7,4,9,5,0,12,16,0,3,3,1,5,1,0,0,1,0,2,2
EML4,194,100,30,49,18,27,13,32,23,21,23,16,18,14,23,10,6,3,4,4,8,3,5,7
EML5,101,62,14,21,9,9,4,12,5,9,10,15,2,4,5,2,4,1,1,0,2,0,2,0
EML6,87,13,2,18,2,22,5,12,8,4,2,3,2,0,2,8,0,0,3,7,1,0,3,0
EMP1,0,13,6,1,1,1,1,1,1,1,2,8,1,0,2,0,0,0,0,0,0,0,1,1
EMP2,197,119,32,72,21,31,13,58,18,23,28,30,7,19,11,9,6,5,5,9,3,3,6,0
EMP3,83,60,8,40,7,0,7,18,5,8,17,24,6,7,4,7,4,1,2,1,2,1,2,3
EMX1,231,48,8,76,10,53,3,62,22,8,9,11,20,35,3,19,0,3,4,4,5,11,4,2
EMX2,244,74,19,98,43,50,25,78,21,27,18,37,14,46,4,28,3,6,9,10,6,11,3,1
EMX2OS,213,131,33,69,32,35,26,54,28,14,23,31,15,26,17,16,5,6,2,6,6,3,5,3
EN1,5,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EN2,1,3,2,1,3,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ENAH,471,290,111,106,84,80,52,72,66,64,54,49,39,37,26,29,19,9,12,15,12,12,10,4
ENAM,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENC1,539,338,127,122,109,75,89,65,76,82,56,60,28,31,37,20,18,21,11,12,14,7,11,8
ENDOD1,43,28,15,12,1,4,5,4,5,3,5,10,3,1,3,1,4,0,2,3,2,1,1,0
ENDOG,22,8,0,5,2,6,4,2,1,1,1,3,3,0,1,3,2,0,2,0,0,0,1,0
ENDOU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ENDOV,240,108,57,45,26,49,32,37,23,24,12,22,13,14,10,18,14,3,11,4,7,5,5,3
ENG,55,50,18,8,6,8,3,10,8,1,7,7,3,0,12,1,3,2,5,0,0,0,7,1
ENGASE,81,93,24,28,12,9,7,16,12,6,17,17,1,6,14,2,2,2,0,1,3,1,6,1
ENHO,251,189,43,77,52,21,15,36,33,20,35,48,15,8,19,6,8,4,4,4,5,3,3,5
ENKD1,100,92,16,25,13,12,9,23,11,7,15,23,5,4,13,1,3,1,0,0,4,1,2,2
ENKUR,41,36,5,28,6,3,2,15,7,4,14,31,6,3,4,2,5,0,1,0,0,4,1,0
ENO1,522,345,151,122,106,89,83,82,80,73,69,63,62,49,39,34,24,18,15,15,14,12,11,9
ENO1-AS1,12,1,0,5,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0
ENO2,507,341,129,118,96,83,72,63,68,69,60,58,60,33,29,30,16,10,13,13,13,11,10,8
ENO3,19,8,3,6,2,1,1,4,3,2,3,2,2,1,1,0,0,0,0,0,0,0,1,1
ENO4,95,86,25,21,19,4,11,5,14,13,9,13,0,0,10,1,3,0,1,1,2,0,4,0
ENOPH1,385,240,77,101,50,56,42,56,49,41,50,56,38,27,28,23,15,9,7,8,12,9,8,4
ENOSF1,53,37,7,23,11,14,6,21,3,1,21,7,15,11,10,2,6,2,2,5,4,4,1,4
ENOX1,232,119,35,45,29,28,26,19,26,28,7,23,20,2,7,12,4,5,3,4,5,3,6,3
ENOX1-AS2,19,13,5,5,1,1,4,2,4,1,0,2,2,0,1,0,0,0,0,0,1,1,0,0
ENOX2,54,18,12,11,3,15,1,13,5,5,0,3,4,3,3,2,3,1,0,1,1,3,1,0
ENPEP,2,7,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0
ENPP1,10,11,4,2,1,3,0,2,2,4,2,2,2,1,1,1,2,0,0,0,0,0,0,0
ENPP2,10,31,16,7,5,3,16,8,1,3,13,5,0,0,16,1,9,2,0,0,0,0,1,2
ENPP3,6,4,1,1,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,1
ENPP4,51,48,22,9,4,6,6,7,2,6,5,5,6,2,4,2,8,1,0,1,0,1,2,2
ENPP5,13,13,5,4,3,2,1,0,3,3,3,3,3,0,0,0,0,1,1,0,1,0,0,0
ENPP6,13,8,2,1,1,1,3,0,2,1,8,3,0,0,2,0,3,0,0,0,3,0,1,0
ENPP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENPP7P13,10,17,3,4,1,1,0,5,1,0,3,4,0,0,3,0,1,0,0,0,1,0,0,0
ENSA,329,199,88,80,57,66,55,64,32,30,35,38,27,36,29,21,15,8,7,13,6,5,9,5
ENTHD1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTHD2,150,78,19,33,17,16,7,23,7,10,15,15,13,7,10,4,5,0,5,7,2,3,4,2
ENTPD1,214,160,45,63,34,34,14,34,22,17,28,39,17,9,36,10,10,1,3,2,9,5,9,10
ENTPD1-AS1,38,38,12,9,7,6,5,9,2,3,9,11,4,2,7,3,0,2,0,0,1,0,1,2
ENTPD2,1,3,2,0,1,0,0,1,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0
ENTPD3,16,14,6,3,2,1,1,0,3,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0
ENTPD3-AS1,28,31,10,18,6,3,1,4,3,3,12,7,1,1,4,0,2,2,1,1,1,0,1,0
ENTPD4,298,200,65,64,45,43,30,45,28,24,36,29,23,20,25,18,11,7,7,3,8,6,9,5
ENTPD5,17,12,5,7,2,0,3,2,2,1,2,3,2,2,1,0,2,0,0,0,0,1,0,0
ENTPD6,285,208,57,69,46,52,24,43,37,20,35,36,23,18,23,20,10,5,3,8,7,4,6,3
ENTPD7,42,25,8,6,1,3,2,11,6,2,5,4,0,1,4,1,2,0,0,0,2,0,1,0
ENTPD8,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENY2,474,271,101,113,63,75,59,76,63,50,51,54,48,45,31,34,16,12,13,12,11,12,10,9
EOGT,52,39,10,16,4,3,3,5,9,3,8,21,2,1,5,1,4,1,0,0,0,1,2,3
EOMES,336,40,4,91,15,46,4,59,41,15,6,3,11,20,1,22,0,4,2,4,9,8,7,0
EP300,236,196,57,64,32,39,25,53,28,18,30,39,14,16,23,13,11,4,5,6,5,5,8,7
EP300-AS1,58,28,8,16,4,7,0,8,4,2,8,3,3,4,3,0,1,0,2,0,2,3,1,0
EP400,231,165,55,58,42,38,18,41,30,22,28,40,15,16,14,16,8,7,3,4,3,3,6,3
EP400NL,30,14,2,4,3,10,1,9,1,1,5,9,2,3,2,2,1,1,1,2,2,0,0,1
EPAS1,23,34,12,5,6,4,4,9,3,6,12,6,6,0,7,0,0,4,2,2,1,4,0,0
EPB41,91,59,14,20,13,14,12,15,11,8,5,10,4,5,4,6,1,0,4,1,1,2,2,2
EPB41L1,229,210,64,50,41,26,26,23,25,36,28,29,11,4,24,7,6,4,4,5,7,4,5,5
EPB41L2,105,135,45,30,22,8,19,28,12,19,44,31,6,10,25,3,15,3,0,0,8,2,5,7
EPB41L3,307,112,29,66,32,55,31,47,34,24,20,24,40,11,21,24,7,5,8,6,8,9,7,4
EPB41L4A,216,81,39,52,23,18,17,28,20,29,17,17,11,8,8,6,7,3,4,3,6,6,5,1
EPB41L4A-AS1,368,177,62,84,47,41,33,41,42,34,29,28,24,24,17,16,11,9,5,6,9,5,7,3
EPB41L4A-AS2,10,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
EPB41L4B,20,25,7,6,3,0,0,4,2,0,8,7,0,0,4,0,0,0,1,0,0,0,1,0
EPB41L5,251,153,55,63,38,27,26,35,24,30,26,28,10,13,13,10,10,5,2,4,4,6,5,2
EPB42,1,29,10,0,7,0,3,1,0,1,2,4,0,2,3,0,0,0,0,0,0,0,0,1
EPC1,348,211,96,82,54,49,48,47,49,47,36,31,21,15,27,18,11,9,7,10,7,6,8,3
EPC2,156,117,25,38,25,19,11,29,16,14,17,17,12,5,16,4,3,1,2,2,5,0,4,1
EPCAM,142,154,13,34,39,8,11,3,17,9,20,21,4,2,14,1,1,0,0,1,7,0,3,0
EPDR1,33,35,12,22,8,1,2,8,9,2,7,22,2,12,2,2,6,1,0,0,3,2,0,0
EPG5,202,132,53,41,25,11,17,28,27,11,19,20,4,6,17,5,7,2,1,0,3,0,7,3
EPGN,7,6,4,3,0,1,1,3,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
EPHA1,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EPHA1-AS1,70,44,18,11,9,10,4,18,2,11,9,8,5,0,5,4,3,0,1,1,2,2,2,2
EPHA10,36,83,15,10,9,4,1,5,4,1,10,9,3,0,12,1,3,0,0,0,2,0,1,1
EPHA2,6,21,5,4,2,0,0,6,0,0,5,6,0,3,3,1,1,0,1,0,0,0,0,0
EPHA3,409,212,65,84,78,13,60,7,49,53,19,26,0,0,14,3,7,8,9,4,6,4,6,2
EPHA4,176,173,46,37,34,43,35,55,19,16,28,25,7,22,15,23,8,4,2,8,2,5,3,3
EPHA5,412,227,81,89,52,62,33,41,51,38,27,31,37,4,19,14,6,6,8,2,10,6,7,6
EPHA5-AS1,146,67,13,30,14,19,10,13,13,12,8,5,18,3,4,5,1,1,1,0,5,2,3,0
EPHA6,5,19,2,1,3,0,1,3,2,1,0,3,0,2,0,1,2,0,0,0,1,0,0,0
EPHA7,270,78,16,60,16,73,13,57,21,18,12,10,37,24,6,30,1,2,7,8,4,7,4,0
EPHA8,6,15,1,2,1,0,0,2,2,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0
EPHB1,304,128,31,60,41,34,36,20,31,20,26,29,19,3,7,11,6,4,10,12,9,2,8,2
EPHB2,241,143,46,68,32,28,12,39,21,20,23,30,10,12,14,6,6,2,6,5,9,4,4,1
EPHB3,24,45,11,6,5,6,4,8,2,1,14,17,1,5,10,4,9,1,1,3,3,2,2,5
EPHB4,46,19,2,20,7,5,1,27,5,1,7,5,0,4,1,0,0,0,2,1,1,0,2,0
EPHB6,421,246,72,91,69,40,42,35,32,65,33,41,22,4,26,15,12,6,14,9,9,5,6,6
EPHX1,13,24,10,5,6,4,3,4,1,3,8,11,1,0,3,4,2,0,0,1,0,0,2,1
EPHX2,31,24,9,8,4,5,11,15,1,0,5,12,8,8,2,3,4,0,1,1,0,2,2,2
EPHX3,10,1,2,2,0,1,1,5,0,3,0,5,1,1,1,0,0,0,0,0,0,0,1,0
EPHX4,28,37,8,5,4,1,3,0,3,1,5,7,0,0,2,0,1,1,0,0,0,0,0,0
EPM2A,46,39,8,17,7,6,2,10,9,4,2,10,2,0,2,0,1,0,0,2,0,1,0,1
EPM2AIP1,403,234,93,97,65,54,58,58,47,57,37,40,33,24,19,22,16,6,10,9,9,5,5,3
EPN1,280,189,56,67,43,37,20,32,31,27,35,44,11,10,29,12,9,2,3,7,5,4,6,4
EPN2,329,240,113,83,59,58,64,53,36,46,66,52,28,24,27,19,22,14,11,10,11,10,9,8
EPN2-AS1,7,1,1,1,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0
EPN2-IT1,0,1,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
EPN3,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
EPO,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
EPOR,60,35,15,14,3,3,9,1,5,2,8,6,1,4,11,1,1,0,0,2,4,0,6,5
EPPIN,3,2,1,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
EPPIN-WFDC6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPPK1,10,14,11,1,2,1,0,1,5,2,2,1,3,0,0,0,1,0,0,0,0,0,0,1
EPRS,334,196,70,91,54,54,49,46,41,52,38,37,37,28,18,27,17,9,12,7,9,5,7,4
EPS15,286,210,68,72,49,36,32,37,34,27,31,41,27,6,27,14,6,7,7,6,8,7,7,6
EPS15L1,231,128,50,55,37,45,24,40,24,23,22,24,20,17,16,21,10,2,4,7,4,6,4,4
EPS8,362,184,37,72,46,17,36,17,32,53,52,45,18,2,20,4,11,7,7,3,11,3,7,3
EPS8L1,107,83,22,27,22,9,9,8,12,8,11,21,8,7,7,8,4,1,2,2,0,0,5,0
EPS8L2,15,14,5,3,1,0,0,4,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0
EPS8L3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPSTI1,6,11,8,3,3,2,3,4,2,2,3,2,2,0,3,0,0,0,5,0,0,1,1,2
EPT1,153,126,28,36,22,21,15,20,13,11,18,27,8,11,12,6,7,2,3,3,3,1,4,2
EPX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPYC,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EQTN,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
ERAL1,336,218,68,91,51,49,47,45,42,38,43,49,34,27,25,24,14,6,13,7,12,10,8,3
ERAP1,25,22,18,12,3,3,4,6,5,1,6,8,0,2,8,1,2,2,1,0,0,1,2,1
ERAP2,29,31,5,9,5,2,0,2,2,0,10,15,0,1,3,0,2,0,0,0,0,0,2,2
ERAS,5,5,1,0,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
ERBB2,99,48,13,33,8,19,8,22,12,3,9,12,3,9,3,7,3,1,2,4,5,1,3,2
ERBB2IP,276,164,47,78,55,37,24,38,43,30,30,35,9,11,26,16,9,4,3,6,8,7,3,3
ERBB3,29,31,14,7,9,3,9,3,3,6,23,6,1,2,2,1,9,1,3,0,10,0,0,1
ERBB4,178,272,154,44,36,5,27,14,64,15,30,35,2,1,13,0,12,17,0,2,1,1,4,2
ERC1,271,187,72,60,44,55,39,36,32,35,25,34,27,4,22,10,10,3,3,10,7,3,4,6
ERC2,238,178,48,48,24,20,12,17,29,23,30,30,11,4,18,8,4,3,1,5,3,3,5,1
ERC2-IT1,54,42,7,11,4,7,3,6,1,4,2,8,0,0,2,1,1,1,0,1,4,1,1,0
ERCC1,357,183,57,94,56,60,51,68,43,47,47,41,27,30,26,21,17,10,9,13,12,9,10,6
ERCC2,109,50,14,24,10,18,13,18,5,9,11,12,10,9,6,7,6,1,1,2,2,2,2,0
ERCC3,290,173,68,84,41,42,38,41,39,36,30,35,21,18,25,22,12,5,6,5,10,6,5,6
ERCC4,152,83,26,38,22,20,17,23,17,14,14,28,8,13,12,7,4,2,1,1,8,1,1,5
