,GW16:Neurons,GW26:GABAergic neurons,GW23:GABAergic neurons,GW16:Stem cells,GW26:Neurons,GW10:Neurons,GW23:Neurons,GW10:Stem cells,GW16:GABAergic neurons,GW19:Neurons,GW26:OPC,GW26:Astrocytes,GW12:Neurons,GW09:Stem cells,GW26:Microglia,GW09:Neurons,GW23:OPC,GW19:GABAergic neurons,GW13:Neurons,GW08:Neurons,GW16:OPC,GW12:Stem cells,GW16:Microglia,GW23:Microglia
LINC00698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00700,10,4,1,4,2,2,0,2,2,1,0,2,2,0,3,0,0,0,0,0,0,1,0,0
LINC00701,3,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
LINC00702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00703,9,15,2,2,1,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
LINC00704,0,9,2,0,1,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
LINC00705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00707,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00708,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00709,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00710,7,28,8,2,1,0,0,0,0,2,2,3,0,0,2,1,1,0,0,0,0,0,0,0
LINC00824,161,163,46,48,36,25,23,30,20,17,22,25,12,15,13,7,7,3,2,1,5,2,2,3
LINC00836,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00837,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
LINC00838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LINC00839,64,103,6,14,27,1,6,1,6,2,13,18,2,0,5,0,3,1,0,2,5,0,1,1
LINC00840,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LINC00841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00842,7,2,0,0,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
LINC00844,6,16,7,3,1,0,1,1,1,2,6,8,0,0,1,0,1,0,0,0,0,0,0,0
LINC00845,1,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00847,110,80,10,31,11,9,8,5,12,11,14,20,10,6,10,1,5,1,3,0,2,4,3,0
LINC00850,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
LINC00851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00852,8,4,1,0,0,1,0,3,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0
LINC00853,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LINC00854,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LINC00856,1,5,1,0,3,1,1,0,0,1,0,2,1,0,1,0,0,0,0,0,1,1,0,0
LINC00857,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00858,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00861,4,3,3,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
LINC00862,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LINC00864,7,8,3,2,0,0,3,1,3,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0
LINC00865,165,93,36,32,21,17,16,15,21,17,15,16,12,8,11,6,4,4,3,4,1,2,4,3
LINC00866,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00867,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00869,3,14,2,0,3,0,1,3,1,0,2,5,1,1,1,0,1,2,0,0,1,0,1,0
LINC00870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00871,8,3,1,8,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00877,2,2,0,1,1,3,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
LINC00879,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00880,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
