"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba"
"ERI2",0.0880733944954128,0.0646766169154229,0.0459770114942529,0.235772357723577,0.0677966101694915,0.0752688172043011,0.0888888888888889,0.226190476190476,0.0602409638554217,0.0365853658536585,0.138888888888889,0.142857142857143,0.126984126984127,0.12,0.025,0.0571428571428571,0.28,0,0.0625,0.0666666666666667,0.214285714285714,0.5,0.0909090909090909,0.3,0.0608695652173913,0.11,0.075,0.0405405405405405,0.0985915492957746,0.0307692307692308,0.157894736842105,0.12962962962963,0.104166666666667,0.0217391304347826,0.217391304347826,0.0465116279069767,0.0697674418604651,0.0930232558139535,0.0512820512820513,0.108108108108108,0.147058823529412,0.0606060606060606,0.09375,0,0.0344827586206897,0.0689655172413793,0.037037037037037,0.115384615384615,0.04,0.125,0,0.0909090909090909,0.0952380952380952,0,0.0476190476190476,0.142857142857143,0.15,0.0526315789473684,0,0,0,0.0555555555555556,0.235294117647059,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0625,0.1875,0.0625,0,0,0.0769230769230769,0.0769230769230769,0,0,0,0,0.2,0,0
"CES4A",0.264220183486239,0.218905472636816,0.14367816091954,0.227642276422764,0.169491525423729,0.182795698924731,0.3,0.130952380952381,0.108433734939759,0.170731707317073,0.125,0.26984126984127,0.19047619047619,0.02,0.275,0.142857142857143,0.08,0,0.25,0.2,0.214285714285714,0.0833333333333333,0.272727272727273,0,0.0173913043478261,0.02,0.0125,0.027027027027027,0.0140845070422535,0.0923076923076923,0,0.0185185185185185,0,0.0869565217391304,0,0.0232558139534884,0,0,0.0512820512820513,0,0,0.0303030303030303,0.03125,0,0.0344827586206897,0.0344827586206897,0,0,0.04,0,0,0,0.0952380952380952,0.0476190476190476,0.0952380952380952,0,0.05,0,0,0,0,0,0,0,0.117647058823529,0,0,0.0625,0.0625,0.0666666666666667,0.0769230769230769,0,0,0,0.0833333333333333,0,0,0.1,0,0
"ESRP2",0.0036697247706422,0.00746268656716418,0,0,0,0.010752688172043,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPR",0,0,0,0.00813008130081301,0,0,0,0.0119047619047619,0,0,0.0138888888888889,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENPN",0.456880733944954,0.191542288557214,0.103448275862069,0.75609756097561,0.11864406779661,0.311827956989247,0.0555555555555556,0.583333333333333,0.349397590361446,0.134146341463415,0.347222222222222,0.238095238095238,0.238095238095238,0.66,0.25,0.457142857142857,0.24,0.181818181818182,0.5625,0.266666666666667,0.571428571428571,0.416666666666667,0.636363636363636,0.2,0.0869565217391304,0.12,0.1875,0.0540540540540541,0.112676056338028,0.0615384615384615,0.473684210526316,0.296296296296296,0.25,0,0.434782608695652,0.0232558139534884,0.13953488372093,0.0465116279069767,0.0769230769230769,0.27027027027027,0.558823529411765,0.303030303030303,0.40625,0.0666666666666667,0.0689655172413793,0.275862068965517,0.111111111111111,0.192307692307692,0.08,0.125,0.304347826086957,0.136363636363636,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.142857142857143,0.55,0.0526315789473684,0.0555555555555556,0.5,0.333333333333333,0.222222222222222,0.352941176470588,0,0.0588235294117647,0,0.375,0.0625,0.0625,0,0,0.230769230769231,0.153846153846154,0.153846153846154,0,0.0833333333333333,0.0833333333333333,0.1,0.1,0
"MYO1C",0.135779816513761,0.256218905472637,0.109195402298851,0.16260162601626,0.152542372881356,0.0537634408602151,0.1,0.0952380952380952,0.0963855421686747,0.121951219512195,0.263888888888889,0.238095238095238,0,0,0.3,0,0.2,0.0909090909090909,0.25,0,0.142857142857143,0,0,0.4,0.434782608695652,0.02,0.05,0.0540540540540541,0.464788732394366,0.0461538461538462,0.0175438596491228,0.037037037037037,0,0.0434782608695652,0.0217391304347826,0.0465116279069767,0,0.27906976744186,0.102564102564103,0.135135135135135,0.117647058823529,0,0,0.0333333333333333,0,0,0.037037037037037,0,0,0.208333333333333,0,0,0.142857142857143,0.0952380952380952,0,0.0476190476190476,0.05,0.0526315789473684,0.111111111111111,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0.125,0.0666666666666667,0,0,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.0833333333333333,0,0,0,0.1
"ANKFY1",0.51743119266055,0.440298507462687,0.281609195402299,0.552845528455285,0.330508474576271,0.344086021505376,0.233333333333333,0.428571428571429,0.36144578313253,0.280487804878049,0.416666666666667,0.650793650793651,0.301587301587302,0.38,0.45,0.285714285714286,0.36,0.136363636363636,0.3125,0.333333333333333,0.428571428571429,0.416666666666667,0.545454545454545,0.4,0.173913043478261,0.35,0.3375,0.162162162162162,0.0985915492957746,0.123076923076923,0.263157894736842,0.12962962962963,0.104166666666667,0.239130434782609,0.260869565217391,0.232558139534884,0.0930232558139535,0.116279069767442,0.179487179487179,0.378378378378378,0.294117647058824,0.0606060606060606,0.21875,0.133333333333333,0.206896551724138,0.241379310344828,0.0740740740740741,0.269230769230769,0.44,0.166666666666667,0.173913043478261,0.136363636363636,0.380952380952381,0.19047619047619,0.0952380952380952,0.0952380952380952,0.3,0.315789473684211,0.222222222222222,0.277777777777778,0,0.166666666666667,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.25,0.125,0.375,0.333333333333333,0.384615384615385,0.230769230769231,0.153846153846154,0.307692307692308,0.25,0.0833333333333333,0.25,0.4,0.1,0.3
"MYH10",0.669724770642202,0.614427860696517,0.637931034482759,0.796747967479675,0.542372881355932,0.774193548387097,0.566666666666667,0.833333333333333,0.55421686746988,0.707317073170732,0.708333333333333,0.746031746031746,0.571428571428571,0.64,0.525,0.714285714285714,0.76,0.681818181818182,0.75,0.733333333333333,0.714285714285714,0.916666666666667,0.545454545454545,0.6,0.530434782608696,0.63,0.5875,0.432432432432432,0.422535211267606,0.338461538461538,0.614035087719298,0.425925925925926,0.395833333333333,0.521739130434783,0.717391304347826,0.558139534883721,0.534883720930233,0.744186046511628,0.307692307692308,0.783783783783784,0.735294117647059,0.454545454545455,0.59375,0.566666666666667,0.551724137931034,0.793103448275862,0.62962962962963,0.769230769230769,0.6,0.75,0.565217391304348,0.5,0.714285714285714,0.523809523809524,0.333333333333333,0.714285714285714,0.6,0.578947368421053,0.5,0.722222222222222,0.388888888888889,0.5,0.588235294117647,0.529411764705882,0.294117647058824,0.470588235294118,0.5,0.5,0.3125,0.333333333333333,0.615384615384615,0.461538461538462,0.692307692307692,0.538461538461538,0.75,0.75,0.833333333333333,0.8,0.3,0.6
"PIPOX",0.0348623853211009,0.082089552238806,0.028735632183908,0.130081300813008,0.0677966101694915,0.032258064516129,0.0666666666666667,0.0714285714285714,0.036144578313253,0.0365853658536585,0.138888888888889,0.380952380952381,0.0158730158730159,0.02,0.05,0,0.08,0.0909090909090909,0,0,0.142857142857143,0,0.0909090909090909,0.2,0,0.12,0.1,0.0540540540540541,0.0422535211267606,0.0153846153846154,0,0,0.0625,0.0652173913043478,0,0.0465116279069767,0.0232558139534884,0.0465116279069767,0.0512820512820513,0,0,0.0303030303030303,0.03125,0,0.0344827586206897,0.0344827586206897,0,0,0.08,0,0,0.181818181818182,0,0,0,0,0.1,0.0526315789473684,0,0.111111111111111,0,0.0555555555555556,0.117647058823529,0,0,0.0588235294117647,0,0.0625,0.0625,0,0,0,0,0.0769230769230769,0,0,0.0833333333333333,0,0,0
"MYO18A",0.0311926605504587,0.0621890547263682,0.0862068965517241,0.0487804878048781,0.0169491525423729,0.0645161290322581,0.1,0.0238095238095238,0.0481927710843374,0.0731707317073171,0.0277777777777778,0.0476190476190476,0.0634920634920635,0.06,0.05,0.0285714285714286,0.16,0.0454545454545455,0,0.0666666666666667,0,0.0833333333333333,0,0.1,0.11304347826087,0.06,0.0875,0.0675675675675676,0.0704225352112676,0.0153846153846154,0.0175438596491228,0.0555555555555556,0.0416666666666667,0.0434782608695652,0,0.0465116279069767,0.0465116279069767,0.0465116279069767,0.0512820512820513,0.108108108108108,0.0588235294117647,0,0.0625,0.1,0.103448275862069,0.206896551724138,0,0,0.04,0.125,0.217391304347826,0.0454545454545455,0.19047619047619,0.0952380952380952,0.0952380952380952,0.0476190476190476,0,0.105263157894737,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0588235294117647,0.117647058823529,0,0,0.125,0,0.125,0.133333333333333,0,0.0769230769230769,0,0,0,0,0,0.1,0,0
"SLFN11",0.00917431192660551,0.0199004975124378,0.0114942528735632,0.024390243902439,0.0254237288135593,0,0.0111111111111111,0.0119047619047619,0,0.024390243902439,0.0277777777777778,0.0476190476190476,0,0,0.2,0.0285714285714286,0,0,0,0.0666666666666667,0,0,0.363636363636364,0.4,0.0173913043478261,0.01,0.05,0,0.0563380281690141,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLFN13",0.0385321100917431,0.0472636815920398,0.0344827586206897,0.024390243902439,0.0338983050847458,0.032258064516129,0.0222222222222222,0.0595238095238095,0,0,0.0138888888888889,0.0317460317460317,0,0.06,0.15,0.0285714285714286,0.08,0,0,0.0666666666666667,0,0,0.181818181818182,0.2,0.00869565217391304,0.01,0.0125,0.0135135135135135,0,0.0307692307692308,0,0.0185185185185185,0.0208333333333333,0.0217391304347826,0,0,0,0,0,0.0540540540540541,0,0.0303030303030303,0,0.0333333333333333,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.0769230769230769,0,0,0,0,0,0.1
"GPR179",0,0.00248756218905473,0,0,0,0,0,0,0,0,0,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0.1,0.00869565217391304,0.01,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0.04,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP9-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGAP27",0.0642201834862385,0.0870646766169154,0.0862068965517241,0.016260162601626,0.0847457627118644,0.010752688172043,0.0333333333333333,0.0119047619047619,0.0120481927710843,0.0121951219512195,0.0972222222222222,0.0634920634920635,0.0476190476190476,0.04,0.25,0.142857142857143,0.08,0,0,0,0.0714285714285714,0.0833333333333333,0.636363636363636,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKA2",0.921100917431193,0.639303482587065,0.626436781609195,0.943089430894309,0.652542372881356,0.881720430107527,0.688888888888889,0.94047619047619,0.795180722891566,0.817073170731707,0.847222222222222,0.777777777777778,0.793650793650794,0.86,0.6,0.942857142857143,0.76,0.727272727272727,0.75,0.933333333333333,0.857142857142857,1,0.727272727272727,0.4,0.4,0.55,0.475,0.297297297297297,0.464788732394366,0.276923076923077,0.701754385964912,0.462962962962963,0.354166666666667,0.282608695652174,0.630434782608696,0.465116279069767,0.395348837209302,0.348837209302326,0.256410256410256,0.513513513513513,0.764705882352941,0.454545454545455,0.625,0.3,0.241379310344828,0.551724137931034,0.37037037037037,0.769230769230769,0.56,0.291666666666667,0.739130434782609,0.409090909090909,0.476190476190476,0.285714285714286,0.523809523809524,0.476190476190476,0.65,0.473684210526316,0.388888888888889,0.5,0.666666666666667,0.333333333333333,0.588235294117647,0.705882352941177,0.235294117647059,0.352941176470588,0.5,0.1875,0.3125,0.4,0.384615384615385,0.307692307692308,0.538461538461538,0.230769230769231,0.0833333333333333,0.416666666666667,0.333333333333333,0.5,0.2,0.2
